tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1584662400000,1,0,0,1,1,0,0,1
1584748800000,0,0,0,0,1,0,0,1
1584835200000,0,0,0,0,1,0,0,1
1584921600000,0,0,0,0,1,0,0,1
1585008000000,0,0,0,0,1,0,0,1
1585094400000,0,0,0,0,1,0,0,1
1585180800000,0,0,0,0,1,0,0,1
1585267200000,0,0,0,0,1,0,0,1
1585353600000,0,0,0,0,1,0,0,1
1585440000000,0,0,0,0,1,0,0,1
1585526400000,1,0,0,1,2,0,0,2
1585612800000,0,0,0,0,2,0,0,2
1585699200000,0,0,0,0,2,0,0,2
1585785600000,0,0,0,0,2,0,0,2
1585872000000,0,0,0,0,2,0,0,2
1585958400000,0,0,0,0,2,0,0,2
1586044800000,0,0,0,0,2,0,0,2
1586131200000,0,0,0,0,2,0,0,2
1586217600000,0,0,0,0,2,0,0,2
1586304000000,0,0,0,0,2,0,0,2
1586390400000,0,0,0,0,2,0,0,2
1586476800000,0,0,0,0,2,0,0,2
1586563200000,2,0,0,2,4,0,0,4
1586649600000,0,0,0,0,4,0,0,4
1586736000000,0,0,0,0,4,0,0,4
1586822400000,1,0,0,1,5,0,0,5
1586908800000,1,0,0,1,6,0,0,6
1586995200000,1,0,0,1,7,0,0,7
1587081600000,1,0,0,1,8,0,0,8
1587168000000,0,0,1,-1,8,1,0,7
1587254400000,0,0,0,0,8,1,0,7
1587340800000,0,0,0,0,8,1,0,7
1587427200000,5,0,0,5,13,1,0,12
1587513600000,0,0,0,0,13,1,0,12
1587600000000,1,0,0,1,14,1,0,13
1587686400000,4,0,0,4,18,1,0,17
1587772800000,3,0,0,3,21,1,0,20
1587859200000,11,0,0,11,32,1,0,31
1587945600000,0,0,0,0,32,1,0,31
1588032000000,0,0,0,0,32,1,0,31
1588118400000,0,0,0,0,32,1,0,31
1588204800000,0,0,0,0,32,1,0,31
1588291200000,0,0,0,0,32,1,0,31
1588377600000,0,0,0,0,32,1,0,31
1588464000000,6,0,0,6,38,1,0,37
1588550400000,0,0,0,0,38,1,0,37
1588636800000,5,0,0,5,43,1,0,42
1588723200000,4,0,0,4,47,1,0,46
1588809600000,0,0,0,0,47,1,0,46
1588896000000,0,0,0,0,47,1,0,46
1588982400000,15,0,2,13,62,3,0,59
1589068800000,2,0,0,2,64,3,0,61
1589155200000,1,0,0,1,65,3,0,62
1589241600000,0,0,0,0,65,3,0,62
1589328000000,0,0,0,0,65,3,0,62
1589414400000,1,0,0,1,66,3,0,63
1589500800000,3,0,0,3,69,3,0,66
1589587200000,10,0,1,9,79,4,0,75
1589673600000,1,0,0,1,80,4,0,76
1589760000000,1,0,0,1,81,4,0,77
1589846400000,3,0,0,3,84,4,0,80
1589932800000,5,0,2,3,89,6,0,83
1590019200000,0,0,2,-2,89,8,0,81
1590105600000,2,0,0,2,91,8,0,83
1590192000000,0,0,5,-5,91,13,0,78
1590278400000,4,0,2,2,95,15,0,80
1590364800000,2,0,0,2,97,15,0,82
1590451200000,0,0,0,0,97,15,0,82
1590537600000,0,0,0,0,97,15,0,82
1590624000000,0,0,0,0,97,15,0,82
1590710400000,0,0,0,0,97,15,0,82
1590796800000,0,0,0,0,97,15,0,82
1590883200000,0,0,0,0,97,15,0,82
1590969600000,0,0,5,-5,97,20,0,77
1591056000000,0,0,0,0,97,20,0,77
1591142400000,0,0,7,-7,97,27,0,70
1591228800000,2,0,0,2,99,27,0,72
1591315200000,2,0,0,2,101,27,0,74
1591401600000,2,0,0,2,103,27,0,76
1591488000000,0,0,0,0,103,27,0,76
1591574400000,0,0,0,0,103,27,0,76
1591660800000,0,0,0,0,103,27,0,76
1591747200000,2,0,0,2,105,27,0,78
1591833600000,0,0,0,0,105,27,0,78
1591920000000,1,0,0,1,106,27,0,79
1592006400000,2,0,10,-8,108,37,0,71
1592092800000,0,0,0,0,108,37,0,71
1592179200000,0,0,0,0,108,37,0,71
1592265600000,0,0,8,-8,108,45,0,63
1592352000000,1,0,0,1,109,45,0,64
1592438400000,0,0,0,0,109,45,0,64
1592524800000,3,0,1,2,112,46,0,66
1592611200000,0,0,0,0,112,46,0,66
1592697600000,0,0,0,0,112,46,0,66
1592784000000,0,0,0,0,112,46,0,66
1592870400000,2,0,20,-18,114,66,0,48
1592956800000,0,0,0,0,114,66,0,48
1593043200000,0,1,0,-1,114,66,1,47
1593129600000,0,0,0,0,114,66,1,47
1593216000000,3,0,3,0,117,69,1,47
1593302400000,0,0,0,0,117,69,1,47
1593388800000,0,0,0,0,117,69,1,47
1593475200000,0,0,0,0,117,69,1,47
1593561600000,0,0,8,-8,117,77,1,39
1593648000000,0,0,0,0,117,77,1,39
1593734400000,0,0,0,0,117,77,1,39
1593820800000,0,0,0,0,117,77,1,39
1593907200000,3,1,4,-2,120,81,2,37
1593993600000,0,0,0,0,120,81,2,37
1594080000000,1,0,0,1,121,81,2,38
1594166400000,0,0,0,0,121,81,2,38
1594252800000,1,0,0,1,122,81,2,39
1594339200000,0,0,3,-3,122,84,2,36
1594425600000,0,0,0,0,122,84,2,36
1594512000000,0,0,9,-9,122,93,2,27
1594598400000,0,1,0,-1,122,93,3,26
1594684800000,2,0,0,2,124,93,3,28
1594771200000,1,0,2,-1,125,95,3,27
1594857600000,0,0,0,0,125,95,3,27
1594944000000,1,0,3,-2,126,98,3,25
1595030400000,6,0,3,3,132,101,3,28
1595116800000,0,0,3,-3,132,104,3,25
1595203200000,0,0,0,0,132,104,3,25
1595289600000,2,0,0,2,134,104,3,27
1595376000000,2,0,3,-1,136,107,3,26
1595462400000,0,0,3,-3,136,110,3,23
1595548800000,2,0,1,1,138,111,3,24
1595635200000,1,0,1,0,139,112,3,24
1595721600000,0,0,0,0,139,112,3,24
1595808000000,0,0,0,0,139,112,3,24
1595894400000,0,0,1,-1,139,113,3,23
1595980800000,15,2,2,11,154,115,5,34
1596067200000,2,0,0,2,156,115,5,36
1596153600000,6,0,0,6,162,115,5,42
1596240000000,6,0,0,6,168,115,5,48
1596326400000,1,0,0,1,169,115,5,49
1596412800000,0,0,0,0,169,115,5,49
1596499200000,19,0,1,18,188,116,5,67
1596585600000,5,0,0,5,193,116,5,72
1596672000000,0,0,0,0,193,116,5,72
1596758400000,12,0,1,11,205,117,5,83
1596844800000,5,0,0,5,210,117,5,88
1596931200000,0,0,1,-1,210,118,5,87
1597017600000,0,0,0,0,210,118,5,87
1597104000000,0,0,0,0,210,118,5,87
1597190400000,5,0,1,4,215,119,5,91
1597276800000,0,0,0,0,215,119,5,91
1597363200000,7,0,1,6,222,120,5,97
1597449600000,3,0,1,2,225,121,5,99
1597536000000,0,0,0,0,225,121,5,99
1597622400000,20,0,1,19,245,122,5,118
1597708800000,0,0,0,0,245,122,5,118
1597795200000,5,0,4,1,250,126,5,119
1597881600000,0,0,0,0,250,126,5,119
1597968000000,21,1,4,16,271,130,6,135
1598054400000,3,0,1,2,274,131,6,137
1598140800000,0,0,0,0,274,131,6,137
1598227200000,0,0,0,0,274,131,6,137
1598313600000,7,0,2,5,281,133,6,142
1598400000000,8,0,4,4,289,137,6,146
1598486400000,7,0,0,7,296,137,6,153
1598572800000,6,0,6,0,302,143,6,153
1598659200000,0,0,6,-6,302,149,6,147
1598745600000,0,0,0,0,302,149,6,147
1598832000000,0,0,7,-7,302,156,6,140
1598918400000,0,0,0,0,302,156,6,140
1599004800000,1,0,0,1,303,156,6,141
1599091200000,0,0,1,-1,303,157,6,140
1599177600000,1,0,13,-12,304,170,6,128
1599264000000,0,0,11,-11,304,181,6,117
1599350400000,0,0,0,0,304,181,6,117
1599436800000,0,0,0,0,304,181,6,117
1599523200000,0,0,0,0,304,181,6,117
1599609600000,4,0,6,-2,308,187,6,115
1599696000000,1,1,25,-25,309,212,7,90
1599782400000,5,1,10,-6,314,222,8,84
1599868800000,5,0,7,-2,319,229,8,82
1599955200000,2,0,4,-2,321,233,8,80
1600041600000,0,0,0,0,321,233,8,80
1600128000000,10,0,0,10,331,233,8,90
1600214400000,14,0,8,6,345,241,8,96
1600300800000,6,1,8,-3,351,249,9,93
1600387200000,7,0,3,4,358,252,9,97
1600473600000,14,0,2,12,372,254,9,109
1600560000000,14,0,1,13,386,255,9,122
1600646400000,0,0,1,-1,386,256,9,121
1600732800000,0,0,0,0,386,256,9,121
1600819200000,9,0,4,5,395,260,9,126
1600905600000,4,0,2,2,399,262,9,128
1600992000000,10,0,1,9,409,263,9,137
1601078400000,16,1,0,15,425,263,10,152
1601164800000,21,0,2,19,446,265,10,171
1601251200000,21,0,0,21,467,265,10,192
1601337600000,23,2,0,21,490,265,12,213
1601424000000,23,0,0,23,513,265,12,236
1601510400000,21,0,3,18,534,268,12,254
1601596800000,24,3,5,16,558,273,15,270
1601683200000,13,0,3,10,571,276,15,280
1601769600000,22,0,5,17,593,281,15,297
1601856000000,25,0,5,20,618,286,15,317
1601942400000,29,0,7,22,647,293,15,339
1602028800000,23,0,10,13,670,303,15,352
1602115200000,46,0,1,45,716,304,15,397
1602201600000,45,2,5,38,761,309,17,435
1602288000000,30,0,1,29,791,310,17,464
1602374400000,21,2,6,13,812,316,19,477
1602460800000,13,0,0,13,825,316,19,490
1602547200000,38,0,2,36,863,318,19,526
1602633600000,30,0,0,30,893,318,19,556
1602720000000,23,0,3,20,916,321,19,576
1602806400000,26,0,20,6,942,341,19,582
1602892800000,26,0,27,-1,968,368,19,581
1602979200000,14,0,0,14,982,368,19,595
1603065600000,6,1,3,2,988,371,20,597
1603152000000,39,2,9,28,1027,380,22,625
1603238400000,22,0,0,22,1049,380,22,647
