tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1583107200000,3,0,0,3,3,0,0,3
1583193600000,1,1,0,0,4,0,1,3
1583280000000,1,0,0,1,5,0,1,4
1583366400000,1,0,0,1,6,0,1,5
1583452800000,1,0,0,1,7,0,1,6
1583539200000,0,0,0,0,7,0,1,6
1583625600000,0,0,0,0,7,0,1,6
1583712000000,0,0,0,0,7,0,1,6
1583798400000,0,0,0,0,7,0,1,6
1583884800000,0,1,0,-1,7,0,2,5
1583971200000,1,0,0,1,8,0,2,6
1584057600000,4,0,4,0,12,4,2,6
1584144000000,0,0,0,0,12,4,2,6
1584230400000,0,0,0,0,12,4,2,6
1584316800000,1,0,0,1,13,4,2,7
1584403200000,11,0,0,11,24,4,2,18
1584489600000,5,1,1,3,29,5,3,21
1584576000000,7,1,0,6,36,5,4,27
1584662400000,20,3,0,17,56,5,7,44
1584748800000,5,0,0,5,61,5,7,49
1584835200000,3,3,0,0,64,5,10,49
1584921600000,6,4,0,2,70,5,14,51
1585008000000,2,2,1,-1,72,6,16,50
1585094400000,5,0,1,4,77,7,16,54
1585180800000,8,0,0,8,85,7,16,62
1585267200000,27,4,0,23,112,7,20,85
1585353600000,23,2,1,20,135,8,22,105
1585440000000,33,2,1,30,168,9,24,135
1585526400000,26,2,3,21,194,12,26,156
1585612800000,9,0,3,6,203,15,26,162
1585699200000,36,1,0,35,239,15,27,197
1585785600000,24,4,1,19,263,16,31,216
1585872000000,2,1,3,-2,265,19,32,214
1585958400000,24,2,0,22,289,19,34,236
1586044800000,10,0,1,9,299,20,34,245
1586131200000,20,2,1,17,319,21,36,262
1586217600000,79,2,3,74,398,24,38,336
1586304000000,24,5,1,18,422,25,43,354
1586390400000,22,5,1,16,444,26,48,370
1586476800000,10,0,1,9,454,27,48,379
1586563200000,45,1,1,43,499,28,49,422
1586649600000,35,4,3,28,534,31,53,450
1586736000000,76,10,3,63,610,34,63,513
1586822400000,6,1,1,4,616,35,64,517
1586908800000,38,3,1,34,654,36,67,551
1586995200000,23,1,6,16,677,42,68,567
1587081600000,61,3,16,42,738,58,71,609
1587168000000,19,0,2,17,757,60,71,626
1587254400000,54,1,12,41,811,72,72,667
1587340800000,27,3,4,20,838,76,75,687
1587427200000,19,5,19,-5,857,95,80,682
1587513600000,8,3,3,2,865,98,83,684
1587600000000,29,3,9,17,894,107,86,701
1587686400000,74,2,3,69,968,110,88,770
1587772800000,47,0,4,43,1015,114,88,813
1587859200000,12,0,1,11,1027,115,88,824
1587945600000,38,1,3,34,1065,118,89,858
1588032000000,19,1,6,12,1084,124,90,870
1588118400000,40,0,7,33,1124,131,90,903
1588204800000,5,4,31,-30,1129,162,94,873
1588291200000,4,5,3,-4,1133,165,99,869
1588377600000,36,1,2,33,1169,167,100,902
1588464000000,14,1,7,6,1183,174,101,908
1588550400000,182,3,7,172,1365,181,104,1080
1588636800000,52,1,10,41,1417,191,105,1121
1588723200000,21,3,8,10,1438,199,108,1131
1588809600000,53,0,6,47,1491,205,108,1178
