tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1583625600000,1,1,0,0,1,0,1,0
1583712000000,0,0,0,0,1,0,1,0
1583798400000,0,0,0,0,1,0,1,0
1583884800000,2,1,1,0,3,1,2,0
1583971200000,0,0,0,0,3,1,2,0
1584057600000,0,0,0,0,3,1,2,0
1584144000000,2,0,1,1,5,2,2,1
1584230400000,1,0,1,0,6,3,2,1
1584316800000,1,0,0,1,7,3,2,2
1584403200000,1,0,1,0,8,4,2,2
1584489600000,3,1,0,2,11,4,3,4
1584576000000,2,0,0,2,13,4,3,6
1584662400000,3,0,1,2,16,5,3,8
1584748800000,1,1,0,0,17,5,4,8
1584835200000,1,0,1,0,18,6,4,8
1584921600000,3,0,0,3,21,6,4,11
1585008000000,3,1,1,1,24,7,5,12
1585094400000,21,1,1,19,45,8,6,31
1585180800000,4,0,1,3,49,9,6,34
1585267200000,8,1,1,6,57,10,7,40
1585353600000,15,2,2,11,72,12,9,51
1585440000000,10,3,0,7,82,12,12,58
1585526400000,17,1,1,15,99,13,13,73
1585612800000,15,2,0,13,114,13,15,86
1585699200000,19,8,16,-5,133,29,23,81
1585785600000,4,2,2,0,137,31,25,81
1585872000000,19,1,5,13,156,36,26,94
1585958400000,14,1,3,10,170,39,27,104
1586044800000,3,0,0,3,173,39,27,107
1586131200000,18,5,1,12,191,40,32,119
1586217600000,9,0,0,9,200,40,32,128
1586304000000,14,3,2,9,214,42,35,137
1586390400000,12,1,5,6,226,47,36,143
1586476800000,2,0,0,2,228,47,36,145
1586563200000,7,1,0,6,235,47,37,151
1586649600000,61,1,1,59,296,48,38,210
1586736000000,13,1,3,9,309,51,39,219
1586822400000,81,1,3,77,390,54,40,296
1586908800000,27,3,2,22,417,56,43,318
1586995200000,15,3,4,8,432,60,46,326
1587081600000,14,4,16,-6,446,76,50,320
1587168000000,38,0,7,31,484,83,50,351
1587254400000,24,2,0,22,508,83,52,373
1587340800000,7,2,6,-1,515,89,54,372
1587427200000,104,1,2,101,619,91,55,473
1587513600000,40,2,10,28,659,101,57,501
1587600000000,68,2,10,56,727,111,59,557
1587686400000,41,4,4,33,768,115,63,590
1587772800000,52,2,11,39,820,126,65,629
1587859200000,38,0,3,35,858,129,65,664
1587945600000,22,2,13,7,880,142,67,671
1588032000000,22,1,13,8,902,155,68,679
1588118400000,41,3,8,30,943,163,71,709
1588204800000,19,1,13,5,962,176,72,714
1588291200000,28,3,11,14,990,187,75,728
1588377600000,27,1,10,16,1017,197,76,744
1588464000000,16,1,11,4,1033,208,77,748
1588550400000,27,0,10,17,1060,218,77,765
1588636800000,51,0,22,29,1111,240,77,794
1588723200000,54,1,35,18,1165,275,78,812
1588809600000,15,1,23,-9,1180,298,79,803
1588896000000,45,0,39,6,1225,337,79,809
1588982400000,31,2,17,12,1256,354,81,821
1589068800000,23,1,6,16,1279,360,82,837
1589155200000,3,0,6,-3,1282,366,82,834
1589241600000,18,2,5,11,1300,371,84,845
1589328000000,36,0,7,29,1336,378,84,874
1589414400000,59,1,9,49,1395,387,85,923
1589500800000,48,0,10,38,1443,397,85,961
1589587200000,43,1,8,34,1486,405,86,995
1589673600000,25,0,5,20,1511,410,86,1015
1589760000000,15,2,9,4,1526,419,88,1019
1589846400000,25,0,14,11,1551,433,88,1030
1589932800000,25,0,9,16,1576,442,88,1046
1590019200000,28,0,10,18,1604,452,88,1064
1590105600000,33,0,10,23,1637,462,88,1087
