tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1578441600000,9,3,1,5,9,1,3,5
1578528000000,0,1,23,-24,9,24,4,-19
1578614400000,0,1,14,-15,9,38,5,-34
1578700800000,0,3,8,-11,9,46,8,-45
1578787200000,0,3,1,-4,9,47,11,-49
1578873600000,0,0,0,0,9,47,11,-49
1578960000000,0,0,0,0,9,47,11,-49
1579046400000,0,0,0,0,9,47,11,-49
1579132800000,0,0,0,0,9,47,11,-49
1579219200000,0,0,4,-4,9,51,11,-53
1579305600000,0,0,8,-8,9,59,11,-61
1579392000000,0,0,0,0,9,59,11,-61
1579478400000,0,0,0,0,9,59,11,-61
1579564800000,0,0,0,0,9,59,11,-61
1579651200000,0,0,0,0,9,59,11,-61
1579737600000,0,0,0,0,9,59,11,-61
1579824000000,0,0,0,0,9,59,11,-61
1579910400000,0,0,0,0,9,59,11,-61
1579996800000,0,0,0,0,9,59,11,-61
1580083200000,0,0,0,0,9,59,11,-61
1580169600000,0,0,0,0,9,59,11,-61
1580256000000,0,0,0,0,9,59,11,-61
1580342400000,0,0,0,0,9,59,11,-61
1580428800000,0,0,0,0,9,59,11,-61
1580515200000,0,0,0,0,9,59,11,-61
1580601600000,0,0,0,0,9,59,11,-61
1580688000000,0,0,2,-2,9,61,11,-63
1580774400000,0,0,0,0,9,61,11,-63
1580860800000,0,0,0,0,9,61,11,-63
1580947200000,0,0,4,-4,9,65,11,-67
1581033600000,0,0,0,0,9,65,11,-67
1581120000000,0,0,13,-13,9,78,11,-80
1581206400000,0,4,27,-31,9,105,15,-111
1581292800000,0,0,20,-20,9,125,15,-131
1581379200000,0,3,7,-10,9,132,18,-141
1581465600000,0,5,0,-5,9,132,23,-146
1581552000000,0,0,0,0,9,132,23,-146
1581638400000,0,0,0,0,9,132,23,-146
1581724800000,0,0,0,0,9,132,23,-146
1581811200000,0,0,0,0,9,132,23,-146
1581897600000,0,0,0,0,9,132,23,-146
1581984000000,0,0,0,0,9,132,23,-146
1582070400000,0,0,0,0,9,132,23,-146
1582156800000,0,0,0,0,9,132,23,-146
1582243200000,0,0,0,0,9,132,23,-146
1582329600000,0,0,0,0,9,132,23,-146
1582416000000,0,0,0,0,9,132,23,-146
1582502400000,0,0,0,0,9,132,23,-146
1582588800000,0,0,0,0,9,132,23,-146
1582675200000,0,0,0,0,9,132,23,-146
1582761600000,0,0,0,0,9,132,23,-146
1582848000000,0,0,0,0,9,132,23,-146
1582934400000,0,0,0,0,9,132,23,-146
1583020800000,0,0,0,0,9,132,23,-146
1583107200000,0,0,0,0,9,132,23,-146
1583193600000,0,0,0,0,9,132,23,-146
1583280000000,0,0,0,0,9,132,23,-146
1583366400000,0,0,0,0,9,132,23,-146
1583452800000,0,0,0,0,9,132,23,-146
1583539200000,0,0,0,0,9,132,23,-146
1583625600000,0,2,0,-2,9,132,25,-148
1583712000000,0,2,27,-29,9,159,27,-177
1583798400000,0,1,19,-20,9,178,28,-197
1583884800000,0,0,9,-9,9,187,28,-206
1583971200000,0,2,8,-10,9,195,30,-216
1584057600000,0,0,0,0,9,195,30,-216
1584144000000,0,0,0,0,9,195,30,-216
1584230400000,0,0,0,0,9,195,30,-216
1584316800000,0,0,0,0,9,195,30,-216
1584403200000,0,0,0,0,9,195,30,-216
1584489600000,7,1,0,6,16,195,31,-210
1584576000000,3,0,0,3,19,195,31,-207
1584662400000,9,0,0,9,28,195,31,-198
1584748800000,8,0,0,8,36,195,31,-190
1584835200000,14,0,0,14,50,195,31,-176
1584921600000,2,1,0,1,52,195,32,-175
1585008000000,3,1,0,2,55,195,33,-173
1585094400000,9,0,1,8,64,196,33,-165
1585180800000,13,1,0,12,77,196,34,-153
