tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1585440000000,7,0,2,5,7,2,0,5
1585526400000,1,0,0,1,8,2,0,6
1585612800000,0,0,0,0,8,2,0,6
1585699200000,1,0,0,1,9,2,0,7
1585785600000,0,1,0,-1,9,2,1,6
1585872000000,0,0,0,0,9,2,1,6
1585958400000,0,0,0,0,9,2,1,6
1586044800000,0,0,0,0,9,2,1,6
1586131200000,0,0,0,0,9,2,1,6
1586217600000,1,0,1,0,10,3,1,6
1586304000000,0,0,0,0,10,3,1,6
1586390400000,0,0,0,0,10,3,1,6
1586476800000,0,0,0,0,10,3,1,6
1586563200000,0,0,0,0,10,3,1,6
1586649600000,3,0,0,3,13,3,1,9
1586736000000,0,0,0,0,13,3,1,9
1586822400000,0,0,2,-2,13,5,1,7
1586908800000,0,0,0,0,13,5,1,7
1586995200000,8,0,0,8,21,5,1,15
1587081600000,0,0,0,0,21,5,1,15
1587168000000,0,0,0,0,21,5,1,15
1587254400000,0,0,0,0,21,5,1,15
1587340800000,0,0,0,0,21,5,1,15
1587427200000,6,0,1,5,27,6,1,20
1587513600000,4,0,1,3,31,7,1,23
1587600000000,19,0,0,19,50,7,1,42
1587686400000,0,0,0,0,50,7,1,42
1587772800000,1,0,0,1,51,7,1,43
1587859200000,0,0,0,0,51,7,1,43
1587945600000,0,0,0,0,51,7,1,43
1588032000000,0,0,0,0,51,7,1,43
1588118400000,7,0,0,7,58,7,1,50
1588204800000,0,0,0,0,58,7,1,50
1588291200000,3,0,0,3,61,7,1,53
1588377600000,7,0,0,7,68,7,1,60
1588464000000,2,0,0,2,70,7,1,62
1588550400000,3,0,0,3,73,7,1,65
1588636800000,0,0,0,0,73,7,1,65
1588723200000,17,0,3,14,90,10,1,79
1588809600000,5,0,0,5,95,10,1,84
1588896000000,0,0,0,0,95,10,1,84
1588982400000,23,0,0,23,118,10,1,107
1589068800000,2,0,0,2,120,10,1,109
1589155200000,0,0,0,0,120,10,1,109
1589241600000,3,0,9,-6,123,19,1,103
1589328000000,6,1,2,3,129,21,2,106
1589414400000,0,0,0,0,129,21,2,106
1589500800000,0,0,0,0,129,21,2,106
1589587200000,2,0,0,2,131,21,2,108
1589673600000,1,0,2,-1,132,23,2,107
1589760000000,0,0,8,-8,132,31,2,99
1589846400000,0,0,0,0,132,31,2,99
1589932800000,0,0,0,0,132,31,2,99
1590019200000,1,0,5,-4,133,36,2,95
1590105600000,7,0,1,6,140,37,2,101
1590192000000,28,0,0,28,168,37,2,129
1590278400000,0,0,0,0,168,37,2,129
1590364800000,7,0,5,2,175,42,2,131
1590451200000,1,0,1,0,176,43,2,131
1590537600000,7,0,0,7,183,43,2,138
1590624000000,1,0,0,1,184,43,2,139
1590710400000,0,0,3,-3,184,46,2,136
1590796800000,0,0,0,0,184,46,2,136
1590883200000,5,0,5,0,189,51,2,136
1590969600000,7,0,3,4,196,54,2,140
1591056000000,0,0,0,0,196,54,2,140
1591142400000,6,0,24,-18,202,78,2,122
1591228800000,0,0,15,-15,202,93,2,107
1591315200000,3,0,15,-12,205,108,2,95
1591401600000,5,0,5,0,210,113,2,95
1591488000000,0,0,0,0,210,113,2,95
1591574400000,0,0,3,-3,210,116,2,92
1591660800000,24,0,1,23,234,117,2,115
1591747200000,11,0,20,-9,245,137,2,106
1591833600000,0,0,7,-7,245,144,2,99
1591920000000,22,0,1,21,267,145,2,120
1592006400000,0,0,4,-4,267,149,2,116
1592092800000,1,0,9,-8,268,158,2,108
1592179200000,0,0,7,-7,268,165,2,101
1592265600000,2,0,1,1,270,166,2,102
1592352000000,12,0,0,12,282,166,2,114
1592438400000,0,0,6,-6,282,172,2,108
1592524800000,14,0,13,1,296,185,2,109
1592611200000,2,0,9,-7,298,194,2,102
1592697600000,0,0,21,-21,298,215,2,81
1592784000000,0,0,3,-3,298,218,2,78
1592870400000,15,0,4,11,313,222,2,89
1592956800000,0,0,5,-5,313,227,2,84
1593043200000,0,0,7,-7,313,234,2,77
1593129600000,0,0,6,-6,313,240,2,71
1593216000000,8,0,10,-2,321,250,2,69
1593302400000,0,0,8,-8,321,258,2,61
1593388800000,0,0,4,-4,321,262,2,57
1593475200000,0,0,5,-5,321,267,2,52
1593561600000,15,0,3,12,336,270,2,64
1593648000000,0,0,0,0,336,270,2,64
1593734400000,0,0,6,-6,336,276,2,58
1593820800000,0,0,4,-4,336,280,2,54
1593907200000,3,0,19,-16,339,299,2,38
1593993600000,0,0,0,0,339,299,2,38
1594080000000,5,0,5,0,344,304,2,38
1594166400000,0,0,1,-1,344,305,2,37
1594252800000,3,0,2,1,347,307,2,38
1594339200000,0,0,0,0,347,307,2,38
1594425600000,0,0,19,-19,347,326,2,19
1594512000000,3,0,0,3,350,326,2,22
1594598400000,5,0,1,4,355,327,2,26
1594684800000,0,0,12,-12,355,339,2,14
1594771200000,0,0,0,0,355,339,2,14
1594857600000,4,0,1,3,359,340,2,17
1594944000000,0,0,0,0,359,340,2,17
1595030400000,0,0,6,-6,359,346,2,11
1595116800000,0,0,4,-4,359,350,2,7
1595203200000,0,0,0,0,359,350,2,7
1595289600000,0,0,0,0,359,350,2,7
1595376000000,0,0,4,-4,359,354,2,3
1595462400000,0,0,0,0,359,354,2,3
1595548800000,0,0,0,0,359,354,2,3
1595635200000,6,0,0,6,365,354,2,9
1595721600000,0,0,0,0,365,354,2,9
1595808000000,0,0,0,0,365,354,2,9
1595894400000,16,0,0,16,381,354,2,25
1595980800000,0,0,0,0,381,354,2,25
1596067200000,0,0,0,0,381,354,2,25
1596153600000,6,0,0,6,387,354,2,31
1596240000000,0,0,0,0,387,354,2,31
