tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1585526400000,5,0,0,5,5,0,0,5
1585612800000,2,0,0,2,7,0,0,7
1585699200000,0,0,0,0,7,0,0,7
1585785600000,0,0,0,0,7,0,0,7
1585872000000,0,0,0,0,7,0,0,7
1585958400000,0,0,0,0,7,0,0,7
1586044800000,8,1,0,7,15,0,1,14
1586131200000,2,0,0,2,17,0,1,16
1586217600000,0,2,0,-2,17,0,3,14
1586304000000,4,0,1,3,21,1,3,17
1586390400000,0,1,2,-3,21,3,4,14
1586476800000,7,0,0,7,28,3,4,21
1586563200000,0,1,0,-1,28,3,5,20
1586649600000,5,0,0,5,33,3,5,25
1586736000000,1,0,1,0,34,4,5,25
1586822400000,3,2,0,1,37,4,7,26
1586908800000,12,0,1,11,49,5,7,37
1586995200000,9,0,4,5,58,9,7,42
1587081600000,15,0,0,15,73,9,7,57
1587168000000,18,0,1,17,91,10,7,74
1587254400000,4,0,0,4,95,10,7,78
1587340800000,0,0,0,0,95,10,7,78
1587427200000,2,0,1,1,97,11,7,79
1587513600000,10,0,0,10,107,11,7,89
1587600000000,7,1,0,6,114,11,8,95
1587686400000,18,0,0,18,132,11,8,113
1587772800000,14,0,4,10,146,15,8,123
1587859200000,0,0,1,-1,146,16,8,122
1587945600000,4,0,0,4,150,16,8,126
1588032000000,0,1,4,-5,150,20,9,121
1588118400000,7,0,0,7,157,20,9,128
1588204800000,13,0,0,13,170,20,9,141
1588291200000,9,0,4,5,179,24,9,146
1588377600000,0,0,0,0,179,24,9,146
1588464000000,16,0,0,16,195,24,9,162
1588550400000,3,0,0,3,198,24,9,165
1588636800000,14,0,0,14,212,24,9,179
1588723200000,13,0,0,13,225,24,9,192
1588809600000,13,0,0,13,238,24,9,205
1588896000000,8,0,0,8,246,24,9,213
