tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1585180800000,2,0,0,2,2,0,0,2
1585267200000,0,0,0,0,2,0,0,2
1585353600000,1,0,0,1,3,0,0,3
1585440000000,0,0,0,0,3,0,0,3
1585526400000,0,0,0,0,3,0,0,3
1585612800000,4,0,2,2,7,2,0,5
1585699200000,0,0,0,0,7,2,0,5
1585785600000,0,0,0,0,7,2,0,5
1585872000000,2,0,0,2,9,2,0,7
1585958400000,1,0,2,-1,10,4,0,6
1586044800000,0,0,0,0,10,4,0,6
1586131200000,9,0,0,9,19,4,0,15
1586217600000,1,0,2,-1,20,6,0,14
1586304000000,0,1,0,-1,20,6,1,13
1586390400000,0,0,0,0,20,6,1,13
1586476800000,4,0,1,3,24,7,1,16
1586563200000,0,0,0,0,24,7,1,16
1586649600000,0,0,0,0,24,7,1,16
1586736000000,1,0,1,0,25,8,1,16
1586822400000,0,1,0,-1,25,8,2,15
1586908800000,8,0,0,8,33,8,2,23
1586995200000,1,0,0,1,34,8,2,24
1587081600000,1,0,0,1,35,8,2,25
1587168000000,6,1,0,5,41,8,3,30
1587254400000,5,0,0,5,46,8,3,35
1587340800000,14,1,1,12,60,9,4,47
1587427200000,7,1,0,6,67,9,5,53
1587513600000,15,0,0,15,82,9,5,68
1587600000000,1,0,0,1,83,9,5,69
1587686400000,11,0,0,11,94,9,5,80
1587772800000,6,0,0,6,100,9,5,86
1587859200000,4,0,1,3,104,10,5,89
1587945600000,8,0,0,8,112,10,5,97
1588032000000,9,1,2,6,121,12,6,103
1588118400000,6,0,0,6,127,12,6,109
1588204800000,18,0,1,17,145,13,6,126
1588291200000,11,1,2,8,156,15,7,134
1588377600000,1,0,0,1,157,15,7,135
1588464000000,0,0,0,0,157,15,7,135
1588550400000,23,0,1,22,180,16,7,157
1588636800000,1,2,0,-1,181,16,9,156
1588723200000,5,0,13,-8,186,29,9,148
1588809600000,2,1,0,1,188,29,10,149
1588896000000,0,0,1,-1,188,30,10,148
1588982400000,1,0,0,1,189,30,10,149
1589068800000,4,0,0,4,193,30,10,153
1589155200000,7,0,0,7,200,30,10,160
1589241600000,4,0,1,3,204,31,10,163
1589328000000,16,0,1,15,220,32,10,178
1589414400000,3,0,10,-7,223,42,10,171
1589500800000,4,0,7,-3,227,49,10,168
1589587200000,0,0,0,0,227,49,10,168
1589673600000,0,0,0,0,227,49,10,168
1589760000000,0,0,0,0,227,49,10,168
1589846400000,5,0,0,5,232,49,10,173
1589932800000,9,0,18,-9,241,67,10,164
1590019200000,13,0,10,3,254,77,10,167
1590105600000,35,4,15,16,289,92,14,183
1590192000000,2,0,0,2,291,92,14,185
1590278400000,15,0,0,15,306,92,14,200
1590364800000,2,2,21,-21,308,113,16,179
1590451200000,12,0,0,12,320,113,16,191
1590537600000,8,0,0,8,328,113,16,199
1590624000000,6,0,0,6,334,113,16,205
1590710400000,29,0,7,22,363,120,16,227
1590796800000,31,2,6,23,394,126,18,250
1590883200000,12,0,0,12,406,126,18,262
1590969600000,9,0,1,8,415,127,18,270
1591056000000,9,1,17,-9,424,144,19,261
1591142400000,28,4,7,17,452,151,23,278
1591228800000,13,0,0,13,465,151,23,291
1591315200000,15,2,0,13,480,151,25,304
1591401600000,15,0,0,15,495,151,25,319
1591488000000,1,0,10,-9,496,161,25,310
1591574400000,8,2,2,4,504,163,27,314
1591660800000,18,0,0,18,522,163,27,332
1591747200000,15,1,11,3,537,174,28,335
1591833600000,15,0,0,15,552,174,28,350
1591920000000,13,0,4,9,565,178,28,359
1592006400000,21,1,1,19,586,179,29,378
1592092800000,0,3,17,-20,586,196,32,358
1592179200000,45,4,2,39,631,198,36,397
1592265600000,26,0,10,16,657,208,36,413
1592352000000,45,1,1,43,702,209,37,456
1592438400000,36,6,39,-9,738,248,43,447
1592524800000,0,0,0,0,738,248,43,447
1592611200000,26,2,10,14,764,258,45,461
1592697600000,0,0,0,0,764,258,45,461
1592784000000,21,3,7,11,785,265,48,472
1592870400000,11,1,7,3,796,272,49,475
1592956800000,4,0,0,4,800,272,49,479
1593043200000,10,0,0,10,810,272,49,489
1593129600000,7,2,29,-24,817,301,51,465
1593216000000,5,1,0,4,822,301,52,469
1593302400000,12,0,0,12,834,301,52,481
1593388800000,47,0,50,-3,881,351,52,478
1593475200000,13,2,1,10,894,352,54,488
1593561600000,37,0,0,37,931,352,54,525
1593648000000,15,0,0,15,946,352,54,540
1593734400000,50,4,45,1,996,397,58,541
1593820800000,8,2,26,-20,1004,423,60,521
1593907200000,28,0,4,24,1032,427,60,545
1593993600000,8,1,1,6,1040,428,61,551
1594080000000,18,0,19,-1,1058,447,61,550
1594166400000,15,0,6,9,1073,453,61,559
1594252800000,23,3,22,-2,1096,475,64,557
1594339200000,35,0,1,34,1131,476,64,591
1594425600000,26,1,28,-3,1157,504,65,588
1594512000000,39,5,12,22,1196,516,70,610
1594598400000,26,0,3,23,1222,519,70,633
1594684800000,32,1,42,-11,1254,561,71,622
1594771200000,0,0,21,-21,1254,582,71,601
1594857600000,12,1,33,-22,1266,615,72,579
