tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1584144000000,3,0,0,3,3,0,0,3
1584230400000,2,0,0,2,5,0,0,5
1584316800000,1,0,0,1,6,0,0,6
1584403200000,1,0,0,1,7,0,0,7
1584489600000,0,0,0,0,7,0,0,7
1584576000000,0,0,0,0,7,0,0,7
1584662400000,0,0,0,0,7,0,0,7
1584748800000,0,0,0,0,7,0,0,7
1584835200000,0,0,0,0,7,0,0,7
1584921600000,1,0,0,1,8,0,0,8
1585008000000,0,0,0,0,8,0,0,8
1585094400000,0,0,0,0,8,0,0,8
1585180800000,0,0,0,0,8,0,0,8
1585267200000,0,0,0,0,8,0,0,8
1585353600000,5,0,0,5,13,0,0,13
1585440000000,0,0,0,0,13,0,0,13
1585526400000,0,0,0,0,13,0,0,13
1585612800000,3,1,0,2,16,0,1,15
1585699200000,1,0,0,1,17,0,1,16
1585785600000,0,0,0,0,17,0,1,16
1585872000000,1,0,0,1,18,0,1,17
1585958400000,2,0,1,1,20,1,1,18
1586044800000,1,0,0,1,21,1,1,19
1586131200000,6,0,0,6,27,1,1,25
1586217600000,0,0,0,0,27,1,1,25
1586304000000,1,0,0,1,28,1,1,26
1586390400000,1,0,5,-4,29,6,1,22
1586476800000,4,0,0,4,33,6,1,26
1586563200000,0,0,0,0,33,6,1,26
1586649600000,0,0,0,0,33,6,1,26
1586736000000,0,0,0,0,33,6,1,26
1586822400000,0,0,0,0,33,6,1,26
1586908800000,0,0,0,0,33,6,1,26
1586995200000,9,0,5,4,42,11,1,30
1587081600000,0,0,1,-1,42,12,1,29
1587168000000,10,0,0,10,52,12,1,39
1587254400000,5,0,0,5,57,12,1,44
1587340800000,4,0,0,4,61,12,1,48
1587427200000,5,0,0,5,66,12,1,53
1587513600000,1,0,0,1,67,12,1,54
1587600000000,5,0,0,5,72,12,1,59
1587686400000,11,0,2,9,83,14,1,68
1587772800000,12,0,0,12,95,14,1,80
1587859200000,8,0,1,7,103,15,1,87
1587945600000,2,0,1,1,105,16,1,88
1588032000000,8,0,0,8,113,16,1,96
1588118400000,4,0,0,4,117,16,1,100
1588204800000,15,0,0,15,132,16,1,115
1588291200000,3,0,1,2,135,17,1,117
1588377600000,18,0,0,18,153,17,1,135
1588464000000,8,0,0,8,161,17,1,143
1588550400000,5,1,0,4,166,17,2,147
1588636800000,1,0,0,1,167,17,2,148
1588723200000,14,0,0,14,181,17,2,162
1588809600000,0,0,0,0,181,17,2,162
1588896000000,27,0,9,18,208,26,2,180
1588982400000,5,0,6,-1,213,32,2,179
1589068800000,4,0,3,1,217,35,2,180
1589155200000,7,1,4,2,224,39,3,182
1589241600000,3,0,3,0,227,42,3,182
1589328000000,2,0,5,-3,229,47,3,179
1589414400000,8,0,11,-3,237,58,3,176
1589500800000,13,0,4,9,250,62,3,185
1589587200000,2,0,2,0,252,64,3,185
1589673600000,1,0,2,-1,253,66,3,184
1589760000000,1,0,10,-9,254,76,3,175
1589846400000,3,0,5,-2,257,81,3,173
1589932800000,6,0,4,2,263,85,3,175
1590019200000,2,0,11,-9,265,96,3,166
1590105600000,5,0,6,-1,270,102,3,165
1590192000000,3,0,3,0,273,105,3,165
1590278400000,2,0,0,2,275,105,3,167
1590364800000,1,0,16,-15,276,121,3,152
1590451200000,1,0,1,0,277,122,3,152
1590537600000,3,0,5,-2,280,127,3,150
1590624000000,1,0,6,-5,281,133,3,145
1590710400000,4,0,9,-5,285,142,3,140
1590796800000,6,0,18,-12,291,160,3,128
1590883200000,4,0,11,-7,295,171,3,121
1590969600000,2,0,3,-1,297,174,3,120
1591056000000,1,0,1,0,298,175,3,120
1591142400000,12,0,2,10,310,177,3,130
1591228800000,6,0,7,-1,316,184,3,129
1591315200000,1,0,0,1,317,184,3,130
1591401600000,10,0,22,-12,327,206,3,118
1591488000000,2,0,4,-2,329,210,3,116
1591574400000,9,0,3,6,338,213,3,122
1591660800000,13,0,3,10,351,216,3,132
1591747200000,11,0,5,6,362,221,3,138
1591833600000,3,0,7,-4,365,228,3,134
1591920000000,8,1,11,-4,373,239,4,130
1592006400000,3,0,10,-7,376,249,4,123
1592092800000,2,0,12,-10,378,261,4,113
1592179200000,4,0,1,3,382,262,4,116
1592265600000,10,0,13,-3,392,275,4,113
1592352000000,5,0,17,-12,397,292,4,101
1592438400000,8,0,19,-11,405,311,4,90
1592524800000,12,0,3,9,417,314,4,99
1592611200000,6,0,6,0,423,320,4,99
1592697600000,11,1,3,7,434,323,5,106
1592784000000,1,0,1,0,435,324,5,106
1592870400000,12,0,1,11,447,325,5,117
1592956800000,9,1,10,-2,456,335,6,115
1593043200000,17,0,21,-4,473,356,6,111
1593129600000,10,1,5,4,483,361,7,115
1593216000000,11,0,5,6,494,366,7,121
1593302400000,9,0,11,-2,503,377,7,119
1593388800000,7,0,1,6,510,378,7,125
1593475200000,8,0,9,-1,518,387,7,124
1593561600000,7,0,15,-8,525,402,7,116
1593648000000,6,0,14,-8,531,416,7,108
1593734400000,13,1,10,2,544,426,8,110
1593820800000,10,0,7,3,554,433,8,113
1593907200000,30,0,3,27,584,436,8,140
1593993600000,13,1,1,11,597,437,9,151
1594080000000,6,2,16,-12,603,453,11,139
1594166400000,14,0,9,5,617,462,11,144
1594252800000,6,0,7,-1,623,469,11,143
1594339200000,19,1,10,8,642,479,12,151
1594425600000,31,0,12,19,673,491,12,170
1594512000000,17,4,3,10,690,494,16,180
1594598400000,5,1,10,-6,695,504,17,174
1594684800000,27,0,8,19,722,512,17,193
