tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1585353600000,2,0,0,2,2,0,0,2
1585440000000,0,0,0,0,2,0,0,2
1585526400000,0,0,0,0,2,0,0,2
1585612800000,0,0,0,0,2,0,0,2
1585699200000,0,0,0,0,2,0,0,2
1585785600000,0,0,0,0,2,0,0,2
1585872000000,6,0,0,6,8,0,0,8
1585958400000,0,0,0,0,8,0,0,8
1586044800000,0,0,0,0,8,0,0,8
1586131200000,7,0,0,7,15,0,0,15
1586217600000,0,0,0,0,15,0,0,15
1586304000000,1,0,0,1,16,0,0,16
1586390400000,0,0,0,0,16,0,0,16
1586476800000,0,0,0,0,16,0,0,16
1586563200000,0,1,0,-1,16,0,1,15
1586649600000,0,0,0,0,16,0,1,15
1586736000000,0,0,0,0,16,0,1,15
1586822400000,0,0,0,0,16,0,1,15
1586908800000,4,0,1,3,20,1,1,18
1586995200000,8,0,1,7,28,2,1,25
1587081600000,19,0,0,19,47,2,1,44
1587168000000,3,0,0,3,50,2,1,47
1587254400000,19,0,0,19,69,2,1,66
1587340800000,4,0,0,4,73,2,1,70
1587427200000,4,0,0,4,77,2,1,74
1587513600000,0,0,0,0,77,2,1,74
1587600000000,0,0,0,0,77,2,1,74
1587686400000,0,0,0,0,77,2,1,74
1587772800000,6,0,0,6,83,2,1,80
1587859200000,6,0,0,6,89,2,1,86
1587945600000,1,0,0,1,90,2,1,87
1588032000000,2,0,0,2,92,2,1,89
1588118400000,0,0,2,-2,92,4,1,87
1588204800000,8,0,0,8,100,4,1,95
1588291200000,15,0,1,14,115,5,1,109
1588377600000,7,0,0,7,122,5,1,116
1588464000000,0,0,0,0,122,5,1,116
1588550400000,8,0,0,8,130,5,1,124
1588636800000,1,0,1,0,131,6,1,124
1588723200000,0,0,0,0,131,6,1,124
1588809600000,0,0,0,0,131,6,1,124
1588896000000,0,0,0,0,131,6,1,124
1588982400000,0,0,0,0,131,6,1,124
1589068800000,0,0,1,-1,131,7,1,123
1589155200000,1,0,0,1,132,7,1,124
1589241600000,0,0,5,-5,132,12,1,119
1589328000000,6,0,6,0,138,18,1,119
1589414400000,0,0,2,-2,138,20,1,117
