tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1585526400000,1,0,0,1,1,0,0,1
1585612800000,1,1,0,0,2,0,1,1
1585699200000,0,0,0,0,2,0,1,1
1585785600000,0,0,0,0,2,0,1,1
1585872000000,0,0,0,0,2,0,1,1
1585958400000,0,0,0,0,2,0,1,1
1586044800000,0,0,0,0,2,0,1,1
1586131200000,0,0,0,0,2,0,1,1
1586217600000,0,0,0,0,2,0,1,1
1586304000000,1,0,0,1,3,0,1,2
1586390400000,1,0,0,1,4,0,1,3
1586476800000,0,0,0,0,4,0,1,3
1586563200000,1,0,0,1,5,0,1,4
1586649600000,0,0,0,0,5,0,1,4
1586736000000,0,0,0,0,5,0,1,4
1586822400000,0,0,0,0,5,0,1,4
1586908800000,1,0,0,1,6,0,1,5
1586995200000,1,0,0,1,7,0,1,6
1587081600000,0,0,0,0,7,0,1,6
1587168000000,0,0,1,-1,7,1,1,5
1587254400000,1,0,0,1,8,1,1,6
1587340800000,0,0,0,0,8,1,1,6
1587427200000,1,0,2,-1,9,3,1,5
1587513600000,0,0,0,0,9,3,1,5
1587600000000,1,0,0,1,10,3,1,6
1587686400000,0,0,0,0,10,3,1,6
1587772800000,0,0,0,0,10,3,1,6
1587859200000,1,0,0,1,11,3,1,7
1587945600000,0,0,0,0,11,3,1,7
1588032000000,0,0,0,0,11,3,1,7
1588118400000,0,0,0,0,11,3,1,7
1588204800000,0,0,2,-2,11,5,1,5
1588291200000,9,0,0,9,20,5,1,14
1588377600000,0,0,0,0,20,5,1,14
1588464000000,1,0,0,1,21,5,1,15
1588550400000,0,0,0,0,21,5,1,15
1588636800000,8,0,0,8,29,5,1,23
1588723200000,0,0,2,-2,29,7,1,21
1588809600000,0,0,0,0,29,7,1,21
1588896000000,0,0,1,-1,29,8,1,20
1588982400000,0,0,0,0,29,8,1,20
1589068800000,1,0,0,1,30,8,1,21
1589155200000,0,0,0,0,30,8,1,21
1589241600000,0,0,0,0,30,8,1,21
1589328000000,0,0,0,0,30,8,1,21
1589414400000,0,0,0,0,30,8,1,21
1589500800000,0,0,17,-17,30,25,1,4
1589587200000,0,0,0,0,30,25,1,4
1589673600000,0,0,0,0,30,25,1,4
1589760000000,0,0,0,0,30,25,1,4
1589846400000,0,0,0,0,30,25,1,4
1589932800000,6,0,1,5,36,26,1,9
1590019200000,1,0,1,0,37,27,1,9
1590105600000,0,0,0,0,37,27,1,9
1590192000000,3,0,1,2,40,28,1,11
1590278400000,0,0,0,0,40,28,1,11
1590364800000,0,0,0,0,40,28,1,11
1590451200000,0,0,0,0,40,28,1,11
1590537600000,3,0,0,3,43,28,1,14
1590624000000,0,0,0,0,43,28,1,14
1590710400000,0,0,0,0,43,28,1,14
1590796800000,3,0,0,3,46,28,1,17
1590883200000,1,0,1,0,47,29,1,17
1590969600000,0,0,0,0,47,29,1,17
1591056000000,4,0,1,3,51,30,1,20
1591142400000,12,0,3,9,63,33,1,29
1591228800000,10,0,2,8,73,35,1,37
1591315200000,9,0,0,9,82,35,1,46
1591401600000,17,0,1,16,99,36,1,62
1591488000000,4,0,1,3,103,37,1,65
1591574400000,0,0,1,-1,103,38,1,64
1591660800000,19,0,5,14,122,43,1,78
1591747200000,2,0,1,1,124,44,1,79
1591833600000,3,0,3,0,127,47,1,79
1591920000000,6,0,8,-2,133,55,1,77
1592006400000,4,0,9,-5,137,64,1,72
1592092800000,8,1,0,7,145,64,2,79
1592179200000,0,0,0,0,145,64,2,79
1592265600000,1,0,5,-4,146,69,2,75
1592352000000,2,0,27,-25,148,96,2,50
1592438400000,0,0,6,-6,148,102,2,44
1592524800000,0,0,6,-6,148,108,2,38
1592611200000,1,0,0,1,149,108,2,39
1592697600000,0,0,0,0,149,108,2,39
1592784000000,0,0,10,-10,149,118,2,29
1592870400000,0,0,0,0,149,118,2,29
1592956800000,0,0,9,-9,149,127,2,20
1593043200000,0,0,1,-1,149,128,2,19
1593129600000,0,0,3,-3,149,131,2,16
1593216000000,1,0,2,-1,150,133,2,15
1593302400000,0,0,0,0,150,133,2,15
1593388800000,3,0,1,2,153,134,2,17
1593475200000,0,0,1,-1,153,135,2,16
1593561600000,3,0,1,2,156,136,2,18
1593648000000,0,0,1,-1,156,137,2,17
1593734400000,2,0,0,2,158,137,2,19
1593820800000,4,0,0,4,162,137,2,23
1593907200000,2,0,0,2,164,137,2,25
1593993600000,6,0,0,6,170,137,2,31
1594080000000,2,0,3,-1,172,140,2,30
1594166400000,0,0,0,0,172,140,2,30
1594252800000,0,0,1,-1,172,141,2,29
1594339200000,0,0,1,-1,172,142,2,28
1594425600000,1,0,1,0,173,143,2,28
1594512000000,0,0,0,0,173,143,2,28
1594598400000,0,0,3,-3,173,146,2,25
1594684800000,2,0,0,2,175,146,2,27
1594771200000,1,0,5,-4,176,151,2,23
1594857600000,0,0,16,-16,176,167,2,7
1594944000000,0,0,0,0,176,167,2,7
1595030400000,1,0,1,0,177,168,2,7
1595116800000,0,0,0,0,177,168,2,7
1595203200000,4,0,0,4,181,168,2,11
1595289600000,0,0,0,0,181,168,2,11
1595376000000,1,0,2,-1,182,170,2,10
1595462400000,1,0,0,1,183,170,2,11
1595548800000,3,0,0,3,186,170,2,14
1595635200000,1,0,3,-2,187,173,2,12
1595721600000,2,0,1,1,189,174,2,13
1595808000000,3,0,0,3,192,174,2,16
1595894400000,0,0,0,0,192,174,2,16
1595980800000,2,0,0,2,194,174,2,18
1596067200000,0,0,0,0,194,174,2,18
1596153600000,0,0,0,0,194,174,2,18
1596240000000,0,0,0,0,194,174,2,18
1596326400000,0,0,0,0,194,174,2,18
1596412800000,3,0,0,3,197,174,2,21
1596499200000,0,0,2,-2,197,176,2,19
1596585600000,1,0,7,-6,198,183,2,13
1596672000000,0,0,0,0,198,183,2,13
1596758400000,3,0,3,0,201,186,2,13
1596844800000,0,0,3,-3,201,189,2,10
1596931200000,1,0,1,0,202,190,2,10
1597017600000,2,0,0,2,204,190,2,12
1597104000000,0,0,0,0,204,190,2,12
1597190400000,0,0,6,-6,204,196,2,6
1597276800000,0,0,0,0,204,196,2,6
1597363200000,2,0,0,2,206,196,2,8
1597449600000,2,0,0,2,208,196,2,10
1597536000000,5,0,1,4,213,197,2,14
1597622400000,2,0,0,2,215,197,2,16
1597708800000,2,0,2,0,217,199,2,16
1597795200000,3,0,3,0,220,202,2,16
1597881600000,1,0,0,1,221,202,2,17
1597968000000,2,0,0,2,223,202,2,19
1598054400000,4,0,0,4,227,202,2,23
1598140800000,2,0,0,2,229,202,2,25
1598227200000,0,0,2,-2,229,204,2,23
1598313600000,3,0,5,-2,232,209,2,21
1598400000000,4,0,4,0,236,213,2,21
1598486400000,0,0,0,0,236,213,2,21
1598572800000,0,0,2,-2,236,215,2,19
1598659200000,0,0,3,-3,236,218,2,16
1598745600000,4,0,0,4,240,218,2,20
1598832000000,0,0,6,-6,240,224,2,14
1598918400000,0,0,0,0,240,224,2,14
1599004800000,0,0,1,-1,240,225,2,13
1599091200000,1,0,2,-1,241,227,2,12
1599177600000,2,0,2,0,243,229,2,12
1599264000000,0,0,3,-3,243,232,2,9
1599350400000,1,0,0,1,244,232,2,10
1599436800000,0,0,0,0,244,232,2,10
