tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1584576000000,1,1,0,0,1,0,1,0
1584662400000,0,0,0,0,1,0,1,0
1584748800000,0,0,0,0,1,0,1,0
1584835200000,0,0,0,0,1,0,1,0
1584921600000,0,0,0,0,1,0,1,0
1585008000000,0,0,0,0,1,0,1,0
1585094400000,0,0,0,0,1,0,1,0
1585180800000,0,0,0,0,1,0,1,0
1585267200000,0,0,0,0,1,0,1,0
1585353600000,1,0,2,-1,2,2,1,-1
1585440000000,0,0,0,0,2,2,1,-1
1585526400000,2,2,0,0,4,2,3,-1
1585612800000,1,0,0,1,5,2,3,0
1585699200000,0,0,0,0,5,2,3,0
1585785600000,2,1,2,-1,7,4,4,-1
1585872000000,2,0,0,2,9,4,4,1
1585958400000,0,0,0,0,9,4,4,1
1586044800000,1,0,0,1,10,4,4,2
1586131200000,0,0,0,0,10,4,4,2
1586217600000,0,0,0,0,10,4,4,2
1586304000000,0,0,0,0,10,4,4,2
1586390400000,11,0,0,11,21,4,4,13
1586476800000,0,0,0,0,21,4,4,13
1586563200000,0,2,0,-2,21,4,6,11
1586649600000,0,0,0,0,21,4,6,11
1586736000000,0,0,0,0,21,4,6,11
1586822400000,6,2,0,4,27,4,8,15
1586908800000,5,0,3,2,32,7,8,17
1586995200000,7,0,0,7,39,7,8,24
1587081600000,19,0,1,18,58,8,8,42
1587168000000,21,0,0,21,79,8,8,63
1587254400000,0,0,1,-1,79,9,8,62
1587340800000,0,1,1,-2,79,10,9,60
1587427200000,2,0,1,1,81,11,9,61
1587513600000,0,0,0,0,81,11,9,61
1587600000000,2,0,0,2,83,11,9,63
1587686400000,0,0,0,0,83,11,9,63
1587772800000,0,0,2,-2,83,13,9,61
1587859200000,2,0,0,2,85,13,9,63
1587945600000,1,0,0,1,86,13,9,64
1588032000000,3,0,0,3,89,13,9,67
1588118400000,0,0,4,-4,89,17,9,63
1588204800000,0,0,0,0,89,17,9,63
1588291200000,0,0,23,-23,89,40,9,40
1588377600000,0,0,11,-11,89,51,9,29
1588464000000,3,1,1,1,92,52,10,30
1588550400000,0,0,1,-1,92,53,10,29
1588636800000,5,0,6,-1,97,59,10,28
1588723200000,1,0,6,-5,98,65,10,23
1588809600000,0,0,4,-4,98,69,10,19
1588896000000,2,0,2,0,100,71,10,19
