tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1585180800000,2,0,0,2,2,0,0,2
1585267200000,1,0,0,1,3,0,0,3
1585353600000,0,0,0,0,3,0,0,3
1585440000000,0,0,0,0,3,0,0,3
1585526400000,4,1,0,3,7,0,1,6
1585612800000,0,1,0,-1,7,0,2,5
1585699200000,0,0,0,0,7,0,2,5
1585785600000,0,0,0,0,7,0,2,5
1585872000000,3,1,0,2,10,0,3,7
1585958400000,0,0,0,0,10,0,3,7
1586044800000,0,0,0,0,10,0,3,7
1586131200000,1,0,0,1,11,0,3,8
1586217600000,0,0,0,0,11,0,3,8
1586304000000,3,2,0,1,14,0,5,9
1586390400000,1,0,2,-1,15,2,5,8
1586476800000,5,0,0,5,20,2,5,13
1586563200000,0,0,2,-2,20,4,5,11
1586649600000,0,0,0,0,20,4,5,11
1586736000000,1,0,0,1,21,4,5,12
1586822400000,0,0,0,0,21,4,5,12
1586908800000,0,0,0,0,21,4,5,12
1586995200000,5,0,0,5,26,4,5,17
1587081600000,0,0,0,0,26,4,5,17
1587168000000,0,0,0,0,26,4,5,17
1587254400000,0,0,0,0,26,4,5,17
1587340800000,0,0,0,0,26,4,5,17
1587427200000,1,0,1,0,27,5,5,17
1587513600000,0,0,1,-1,27,6,5,16
1587600000000,11,0,0,11,38,6,5,27
1587686400000,0,0,0,0,38,6,5,27
1587772800000,0,0,1,-1,38,7,5,26
1587859200000,4,0,0,4,42,7,5,30
1587945600000,0,0,1,-1,42,8,5,29
1588032000000,2,0,2,0,44,10,5,29
1588118400000,2,0,3,-1,46,13,5,28
1588204800000,0,0,7,-7,46,20,5,21
1588291200000,4,0,0,4,50,20,5,25
1588377600000,0,0,0,0,50,20,5,25
1588464000000,0,0,0,0,50,20,5,25
1588550400000,4,0,0,4,54,20,5,29
1588636800000,1,0,1,0,55,21,5,29
1588723200000,8,0,5,3,63,26,5,32
1588809600000,0,0,0,0,63,26,5,32
1588896000000,3,0,0,3,66,26,5,35
1588982400000,0,0,0,0,66,26,5,35
1589068800000,0,1,0,-1,66,26,6,34
1589155200000,0,1,0,-1,66,26,7,33
1589241600000,0,0,0,0,66,26,7,33
1589328000000,0,0,0,0,66,26,7,33
1589414400000,0,0,0,0,66,26,7,33
1589500800000,0,1,2,-3,66,28,8,30
1589587200000,0,0,2,-2,66,30,8,28
1589673600000,1,0,0,1,67,30,8,29
1589760000000,16,0,2,14,83,32,8,43
1589846400000,1,0,4,-3,84,36,8,40
1589932800000,2,0,0,2,86,36,8,42
1590019200000,16,0,2,14,102,38,8,56
1590105600000,4,0,5,-1,106,43,8,55
1590192000000,0,0,4,-4,106,47,8,51
1590278400000,4,2,5,-3,110,52,10,48
1590364800000,7,1,0,6,117,52,11,54
1590451200000,0,0,2,-2,117,54,11,52
1590537600000,2,0,0,2,119,54,11,54
1590624000000,0,0,0,0,119,54,11,54
1590710400000,13,0,0,13,132,54,11,67
1590796800000,1,0,11,-10,133,65,11,57
1590883200000,1,0,4,-3,134,69,11,54
1590969600000,2,0,5,-3,136,74,11,51
1591056000000,0,0,6,-6,136,80,11,45
1591142400000,0,0,4,-4,136,84,11,41
1591228800000,4,0,3,1,140,87,11,42
1591315200000,1,0,11,-10,141,98,11,32
1591401600000,2,0,3,-1,143,101,11,31
1591488000000,1,0,1,0,144,102,11,31
1591574400000,1,0,3,-2,145,105,11,29
1591660800000,3,0,3,0,148,108,11,29
1591747200000,2,0,1,1,150,109,11,30
1591833600000,2,0,0,2,152,109,11,32
1591920000000,1,0,2,-1,153,111,11,31
1592006400000,12,1,3,8,165,114,12,39
1592092800000,1,0,1,0,166,115,12,39
1592179200000,0,0,0,0,166,115,12,39
1592265600000,0,0,2,-2,166,117,12,37
1592352000000,3,0,1,2,169,118,12,39
1592438400000,2,0,3,-1,171,121,12,38
1592524800000,1,0,2,-1,172,123,12,37
1592611200000,8,0,5,3,180,128,12,40
1592697600000,1,0,0,1,181,128,12,41
1592784000000,0,0,0,0,181,128,12,41
1592870400000,0,0,0,0,181,128,12,41
1592956800000,2,0,7,-5,183,135,12,36
1593043200000,4,0,0,4,187,135,12,40
1593129600000,0,0,2,-2,187,137,12,38
1593216000000,1,0,4,-3,188,141,12,35
1593302400000,0,0,7,-7,188,148,12,28
1593388800000,0,0,1,-1,188,149,12,27
1593475200000,2,0,2,0,190,151,12,27
1593561600000,1,0,2,-1,191,153,12,26
1593648000000,2,0,0,2,193,153,12,28
1593734400000,0,0,0,0,193,153,12,28
1593820800000,0,0,1,-1,193,154,12,27
1593907200000,2,0,1,1,195,155,12,28
1593993600000,6,0,4,2,201,159,12,30
1594080000000,0,0,0,0,201,159,12,30
1594166400000,1,0,0,1,202,159,12,31
1594252800000,1,0,1,0,203,160,12,31
1594339200000,2,0,4,-2,205,164,12,29
1594425600000,0,0,0,0,205,164,12,29
1594512000000,3,0,3,0,208,167,12,29
1594598400000,1,0,1,0,209,168,12,29
1594684800000,0,0,0,0,209,168,12,29
1594771200000,6,0,1,5,215,169,12,34
1594857600000,4,0,0,4,219,169,12,38
1594944000000,1,0,1,0,220,170,12,38
1595030400000,9,0,0,9,229,170,12,47
1595116800000,2,0,4,-2,231,174,12,45
1595203200000,0,0,3,-3,231,177,12,42
1595289600000,1,0,1,0,232,178,12,42
1595376000000,5,0,1,4,237,179,12,46
1595462400000,9,0,3,6,246,182,12,52
1595548800000,0,0,3,-3,246,185,12,49
1595635200000,1,0,2,-1,247,187,12,48
1595721600000,3,0,3,0,250,190,12,48
1595808000000,2,0,2,0,252,192,12,48
1595894400000,0,0,3,-3,252,195,12,45
1595980800000,0,0,0,0,252,195,12,45
1596067200000,3,0,0,3,255,195,12,48
1596153600000,0,0,0,0,255,195,12,48
1596240000000,0,0,0,0,255,195,12,48
1596326400000,16,1,0,15,271,195,13,63
1596412800000,26,0,16,10,297,211,13,73
1596499200000,0,0,1,-1,297,212,13,72
