tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1584835200000,1,0,0,1,1,0,0,1
1584921600000,0,0,0,0,1,0,0,1
1585008000000,0,0,0,0,1,0,0,1
1585094400000,0,0,0,0,1,0,0,1
1585180800000,0,0,0,0,1,0,0,1
1585267200000,0,0,0,0,1,0,0,1
1585353600000,0,0,0,0,1,0,0,1
1585440000000,0,0,0,0,1,0,0,1
1585526400000,0,0,0,0,1,0,0,1
1585612800000,0,0,0,0,1,0,0,1
1585699200000,0,0,1,-1,1,1,0,0
1585785600000,0,0,0,0,1,1,0,0
1585872000000,0,0,0,0,1,1,0,0
1585958400000,0,0,0,0,1,1,0,0
1586044800000,0,0,0,0,1,1,0,0
1586131200000,0,0,0,0,1,1,0,0
1586217600000,0,0,0,0,1,1,0,0
1586304000000,2,0,0,2,3,1,0,2
1586390400000,0,0,0,0,3,1,0,2
1586476800000,0,0,0,0,3,1,0,2
1586563200000,0,0,0,0,3,1,0,2
1586649600000,8,0,0,8,11,1,0,10
1586736000000,0,0,0,0,11,1,0,10
1586822400000,0,0,0,0,11,1,0,10
1586908800000,3,0,0,3,14,1,0,13
1586995200000,0,0,0,0,14,1,0,13
1587081600000,0,0,0,0,14,1,0,13
1587168000000,3,0,5,-2,17,6,0,11
1587254400000,0,0,0,0,17,6,0,11
1587340800000,0,0,4,-4,17,10,0,7
1587427200000,0,0,0,0,17,10,0,7
1587513600000,0,0,0,0,17,10,0,7
1587600000000,0,0,0,0,17,10,0,7
1587686400000,0,0,1,-1,17,11,0,6
1587772800000,3,0,0,3,20,11,0,9
1587859200000,0,0,0,0,20,11,0,9
1587945600000,0,0,0,0,20,11,0,9
1588032000000,2,0,1,1,22,12,0,10
1588118400000,1,0,0,1,23,12,0,11
1588204800000,0,0,0,0,23,12,0,11
1588291200000,0,0,0,0,23,12,0,11
1588377600000,0,0,0,0,23,12,0,11
1588464000000,0,0,0,0,23,12,0,11
1588550400000,0,0,0,0,23,12,0,11
1588636800000,0,0,0,0,23,12,0,11
1588723200000,0,2,0,-2,23,12,2,9
1588809600000,0,0,0,0,23,12,2,9
1588896000000,9,0,0,9,32,12,2,18
1588982400000,0,0,0,0,32,12,2,18
1589068800000,0,0,1,-1,32,13,2,17
1589155200000,0,2,4,-6,32,17,4,11
1589241600000,18,0,0,18,50,17,4,29
1589328000000,0,0,0,0,50,17,4,29
1589414400000,12,0,0,12,62,17,4,41
1589500800000,0,0,0,0,62,17,4,41
1589587200000,0,0,0,0,62,17,4,41
1589673600000,22,2,4,16,84,21,6,57
1589760000000,23,0,0,23,107,21,6,80
1589846400000,0,0,0,0,107,21,6,80
1589932800000,17,1,0,16,124,21,7,96
1590019200000,11,0,1,10,135,22,7,106
1590105600000,22,0,0,22,157,22,7,128
1590192000000,0,0,0,0,157,22,7,128
1590278400000,2,0,5,-3,159,27,7,125
1590364800000,1,0,0,1,160,27,7,126
1590451200000,0,0,0,0,160,27,7,126
1590537600000,10,1,7,2,170,34,8,128
1590624000000,18,0,1,17,188,35,8,145
1590710400000,27,0,0,27,215,35,8,172
1590796800000,0,0,1,-1,215,36,8,171
1590883200000,8,0,0,8,223,36,8,179
1590969600000,0,0,0,0,223,36,8,179
1591056000000,0,0,19,-19,223,55,8,160
1591142400000,15,0,0,15,238,55,8,175
1591228800000,0,0,7,-7,238,62,8,168
1591315200000,16,0,2,14,254,64,8,182
1591401600000,7,0,3,4,261,67,8,186
1591488000000,8,0,0,8,269,67,8,194
1591574400000,38,0,13,25,307,80,8,219
1591660800000,8,0,9,-1,315,89,8,218
1591747200000,13,0,0,13,328,89,8,231
1591833600000,0,0,0,0,328,89,8,231
1591920000000,58,2,15,41,386,104,10,272
1592006400000,13,0,1,12,399,105,10,284
1592092800000,21,0,4,17,420,109,10,301
1592179200000,32,1,0,31,452,109,11,332
