tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1584921600000,1,0,0,1,1,0,0,1
1585008000000,0,0,0,0,1,0,0,1
1585094400000,0,0,0,0,1,0,0,1
1585180800000,0,0,0,0,1,0,0,1
1585267200000,0,0,0,0,1,0,0,1
1585353600000,0,0,0,0,1,0,0,1
1585440000000,0,0,0,0,1,0,0,1
1585526400000,0,0,0,0,1,0,0,1
1585612800000,0,0,0,0,1,0,0,1
1585699200000,0,0,0,0,1,0,0,1
1585785600000,0,0,0,0,1,0,0,1
1585872000000,0,0,0,0,1,0,0,1
1585958400000,0,0,0,0,1,0,0,1
1586044800000,0,0,0,0,1,0,0,1
1586131200000,0,0,0,0,1,0,0,1
1586217600000,0,0,0,0,1,0,0,1
1586304000000,1,0,0,1,2,0,0,2
1586390400000,0,0,1,-1,2,1,0,1
1586476800000,0,0,0,0,2,1,0,1
1586563200000,0,0,0,0,2,1,0,1
1586649600000,0,0,0,0,2,1,0,1
1586736000000,0,0,0,0,2,1,0,1
1586822400000,0,0,0,0,2,1,0,1
1586908800000,2,0,1,1,4,2,0,2
1586995200000,0,0,0,0,4,2,0,2
1587081600000,0,0,0,0,4,2,0,2
1587168000000,0,0,0,0,4,2,0,2
1587254400000,0,0,0,0,4,2,0,2
1587340800000,0,0,0,0,4,2,0,2
1587427200000,0,0,0,0,4,2,0,2
1587513600000,8,0,0,8,12,2,0,10
1587600000000,2,0,0,2,14,2,0,12
1587686400000,0,0,0,0,14,2,0,12
1587772800000,0,0,1,-1,14,3,0,11
1587859200000,12,0,0,12,26,3,0,23
1587945600000,0,0,0,0,26,3,0,23
1588032000000,0,0,1,-1,26,4,0,22
1588118400000,0,0,0,0,26,4,0,22
1588204800000,14,0,0,14,40,4,0,36
1588291200000,1,0,0,1,41,4,0,37
1588377600000,0,0,0,0,41,4,0,37
1588464000000,9,0,2,7,50,6,0,44
1588550400000,0,0,0,0,50,6,0,44
1588636800000,0,0,0,0,50,6,0,44
1588723200000,0,0,0,0,50,6,0,44
1588809600000,0,0,0,0,50,6,0,44
1588896000000,0,0,3,-3,50,9,0,41
1588982400000,4,0,0,4,54,9,0,45
1589068800000,0,0,0,0,54,9,0,45
1589155200000,0,0,0,0,54,9,0,45
1589241600000,0,0,0,0,54,9,0,45
1589328000000,23,3,0,20,77,9,3,65
1589414400000,4,0,3,1,81,12,3,66
1589500800000,4,1,1,2,85,13,4,68
1589587200000,3,0,0,3,88,13,4,71
1589673600000,4,0,0,4,92,13,4,75
1589760000000,1,0,0,1,93,13,4,76
1589846400000,2,0,0,2,95,13,4,78
1589932800000,1,0,0,1,96,13,4,79
1590019200000,1,0,0,1,97,13,4,80
1590105600000,2,0,0,2,99,13,4,82
1590192000000,0,0,0,0,99,13,4,82
1590278400000,1,1,0,0,100,13,5,82
1590364800000,7,0,0,7,107,13,5,89
1590451200000,11,1,4,6,118,17,6,95
1590537600000,1,0,4,-3,119,21,6,92
1590624000000,9,1,0,8,128,21,7,100
1590710400000,11,0,0,11,139,21,7,111
1590796800000,7,0,6,1,146,27,7,112
1590883200000,7,3,0,4,153,27,10,116
1590969600000,7,3,2,2,160,29,13,118
1591056000000,14,1,0,13,174,29,14,131
1591142400000,2,1,1,0,176,30,15,131
