tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1585612800000,2,0,0,2,2,0,0,2
1585699200000,2,0,0,2,4,0,0,4
1585785600000,0,0,0,0,4,0,0,4
1585872000000,0,0,0,0,4,0,0,4
1585958400000,0,0,0,0,4,0,0,4
1586044800000,0,0,0,0,4,0,0,4
1586131200000,3,0,0,3,7,0,0,7
1586217600000,0,0,0,0,7,0,0,7
1586304000000,0,0,0,0,7,0,0,7
1586390400000,6,0,2,4,13,2,0,11
1586476800000,9,0,0,9,22,2,0,20
1586563200000,2,2,0,0,24,2,2,20
1586649600000,9,0,0,9,33,2,2,29
1586736000000,3,0,0,3,36,2,2,32
1586822400000,0,0,0,0,36,2,2,32
1586908800000,0,0,0,0,36,2,2,32
1586995200000,8,0,0,8,44,2,2,40
1587081600000,6,0,0,6,50,2,2,46
1587168000000,4,0,0,4,54,2,2,50
1587254400000,6,1,9,-4,60,11,3,46
1587340800000,11,1,0,10,71,11,4,56
1587427200000,21,0,0,21,92,11,4,77
1587513600000,15,0,0,15,107,11,4,92
1587600000000,7,0,2,5,114,13,4,97
1587686400000,38,0,2,36,152,15,4,133
1587772800000,28,0,5,23,180,20,4,156
1587859200000,15,0,0,15,195,20,4,171
1587945600000,11,0,2,9,206,22,4,180
1588032000000,15,0,2,13,221,24,4,193
1588118400000,9,0,7,2,230,31,4,195
1588204800000,0,0,0,0,230,31,4,195
1588291200000,3,0,0,3,233,31,4,198
1588377600000,17,0,1,16,250,32,4,214
1588464000000,18,0,4,14,268,36,4,228
1588550400000,0,0,0,0,268,36,4,228
1588636800000,16,0,10,6,284,46,4,234
1588723200000,5,1,7,-3,289,53,5,231
1588809600000,11,0,4,7,300,57,5,238
1588896000000,12,0,22,-10,312,79,5,228
1588982400000,18,1,7,10,330,86,6,238
1589068800000,0,0,5,-5,330,91,6,233
1589155200000,1,0,13,-12,331,104,6,221
1589241600000,8,0,0,8,339,104,6,229
1589328000000,5,1,9,-5,344,113,7,224
1589414400000,6,0,24,-18,350,137,7,206
1589500800000,8,0,50,-42,358,187,7,164
1589587200000,7,0,0,7,365,187,7,171
1589673600000,6,0,12,-6,371,199,7,165
1589760000000,4,0,13,-9,375,212,7,156
1589846400000,0,0,0,0,375,212,7,156
1589932800000,18,0,0,18,393,212,7,174
1590019200000,17,0,4,13,410,216,7,187
1590105600000,54,0,3,51,464,219,7,238
1590192000000,10,1,7,2,474,226,8,240
1590278400000,4,0,0,4,478,226,8,244
1590364800000,0,0,31,-31,478,257,8,213
1590451200000,10,0,0,10,488,257,8,223
1590537600000,49,1,14,34,537,271,9,257
1590624000000,25,1,1,23,562,272,10,280
1590710400000,28,0,3,25,590,275,10,305
1590796800000,4,0,3,1,594,278,10,306
1590883200000,42,0,12,30,636,290,10,336
1590969600000,16,0,1,15,652,291,10,351
1591056000000,18,2,0,16,670,291,12,367
1591142400000,15,1,5,9,685,296,13,376
1591228800000,20,4,2,14,705,298,17,390
1591315200000,52,3,0,49,757,298,20,439
1591401600000,41,1,12,28,798,310,21,467
1591488000000,10,0,14,-4,808,324,21,463
1591574400000,14,1,0,13,822,324,22,476
1591660800000,8,3,0,5,830,324,25,481
1591747200000,27,3,78,-54,857,402,28,427
1591833600000,11,3,44,-36,868,446,31,391
1591920000000,23,0,72,-49,891,518,31,342
1592006400000,13,2,20,-9,904,538,33,333
1592092800000,11,0,36,-25,915,574,33,308
1592179200000,22,2,31,-11,937,605,35,297
1592265600000,20,0,15,5,957,620,35,302
1592352000000,21,6,30,-15,978,650,41,287
1592438400000,30,2,20,8,1008,670,43,295
1592524800000,14,0,19,-5,1022,689,43,290
1592611200000,29,1,33,-5,1051,722,44,285
1592697600000,5,0,7,-2,1056,729,44,283
1592784000000,11,1,13,-3,1067,742,45,280
1592870400000,14,0,8,6,1081,750,45,286
1592956800000,21,2,19,0,1102,769,47,286
1593043200000,17,2,6,9,1119,775,49,295
1593129600000,23,0,11,12,1142,786,49,307
1593216000000,21,1,5,15,1163,791,50,322
1593302400000,36,9,19,8,1199,810,59,330
1593388800000,14,0,6,8,1213,816,59,338
1593475200000,21,1,8,12,1234,824,60,350
1593561600000,11,3,7,1,1245,831,63,351
1593648000000,15,0,11,4,1260,842,63,355
1593734400000,23,0,25,-2,1283,867,63,353
1593820800000,28,1,6,21,1311,873,64,374
1593907200000,18,0,9,9,1329,882,64,383
1593993600000,32,0,7,25,1361,889,64,408
1594080000000,30,1,8,21,1391,897,65,429
1594166400000,23,6,23,-6,1414,920,71,423
1594252800000,29,1,12,16,1443,932,72,439
1594339200000,36,2,14,20,1479,946,74,459
1594425600000,39,0,14,25,1518,960,74,484
1594512000000,30,3,13,14,1548,973,77,498
1594598400000,23,4,22,-3,1571,995,81,495
1594684800000,21,1,24,-4,1592,1019,82,491
1594771200000,26,3,14,9,1618,1033,85,500
1594857600000,30,0,27,3,1648,1060,85,503
1594944000000,21,1,11,9,1669,1071,86,512
1595030400000,25,3,13,9,1694,1084,89,521
1595116800000,31,5,19,7,1725,1103,94,528
1595203200000,34,2,1,31,1759,1104,96,559
1595289600000,18,2,14,2,1777,1118,98,561
1595376000000,12,0,10,2,1789,1128,98,563
1595462400000,33,0,13,20,1822,1141,98,583
1595548800000,28,5,16,7,1850,1157,103,590
1595635200000,33,0,13,20,1883,1170,103,610
1595721600000,20,1,22,-3,1903,1192,104,607
1595808000000,23,3,21,-1,1926,1213,107,606
1595894400000,20,1,6,13,1946,1219,108,619
1595980800000,40,0,30,10,1986,1249,108,629
1596067200000,36,0,12,24,2022,1261,108,653
1596153600000,43,2,24,17,2065,1285,110,670
1596240000000,0,0,0,0,2065,1285,110,670
1596326400000,50,5,26,19,2115,1311,115,689
1596412800000,35,2,9,24,2150,1320,117,713
1596499200000,21,2,11,8,2171,1331,119,721
1596585600000,26,2,29,-5,2197,1360,121,716
1596672000000,27,1,15,11,2224,1375,122,727
1596758400000,15,0,27,-12,2239,1402,122,715
1596844800000,24,1,8,15,2263,1410,123,730
1596931200000,27,0,14,13,2290,1424,123,743
1597017600000,26,2,10,14,2316,1434,125,757
1597104000000,22,3,55,-36,2338,1489,128,721
