tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1586390400000,1,0,0,1,1,0,0,1
1586476800000,0,0,0,0,1,0,0,1
1586563200000,0,0,0,0,1,0,0,1
1586649600000,0,0,0,0,1,0,0,1
1586736000000,0,0,0,0,1,0,0,1
1586822400000,0,0,0,0,1,0,0,1
1586908800000,0,0,0,0,1,0,0,1
1586995200000,0,0,0,0,1,0,0,1
1587081600000,0,0,0,0,1,0,0,1
1587168000000,0,0,0,0,1,0,0,1
1587254400000,0,0,0,0,1,0,0,1
1587340800000,0,0,0,0,1,0,0,1
1587427200000,0,0,0,0,1,0,0,1
1587513600000,0,0,0,0,1,0,0,1
1587600000000,0,0,0,0,1,0,0,1
1587686400000,0,0,1,-1,1,1,0,0
1587772800000,0,0,0,0,1,1,0,0
1587859200000,0,0,0,0,1,1,0,0
1587945600000,0,0,0,0,1,1,0,0
1588032000000,0,0,0,0,1,1,0,0
1588118400000,0,0,0,0,1,1,0,0
1588204800000,2,0,0,2,3,1,0,2
1588291200000,0,0,0,0,3,1,0,2
1588377600000,0,0,0,0,3,1,0,2
1588464000000,7,0,0,7,10,1,0,9
1588550400000,0,0,0,0,10,1,0,9
1588636800000,3,0,0,3,13,1,0,12
1588723200000,0,0,0,0,13,1,0,12
1588809600000,0,0,0,0,13,1,0,12
1588896000000,0,0,0,0,13,1,0,12
1588982400000,0,0,0,0,13,1,0,12
1589068800000,1,0,0,1,14,1,0,13
1589155200000,0,0,0,0,14,1,0,13
1589241600000,1,0,0,1,15,1,0,14
1589328000000,6,0,0,6,21,1,0,20
1589414400000,2,1,0,1,23,1,1,21
1589500800000,0,0,0,0,23,1,1,21
1589587200000,27,0,1,26,50,2,1,47
1589673600000,12,0,4,8,62,6,1,55
1589760000000,14,0,0,14,76,6,1,69
1589846400000,3,0,0,3,79,6,1,72
1589932800000,2,0,0,2,81,6,1,74
1590019200000,3,0,0,3,84,6,1,77
1590105600000,0,0,0,0,84,6,1,77
1590192000000,0,0,0,0,84,6,1,77
1590278400000,0,0,0,0,84,6,1,77
1590364800000,1,0,0,1,85,6,1,78
1590451200000,3,0,1,2,88,7,1,80
1590537600000,0,0,2,-2,88,9,1,78
1590624000000,0,0,0,0,88,9,1,78
1590710400000,2,0,3,-1,90,12,1,77
1590796800000,1,0,0,1,91,12,1,78
1590883200000,1,0,2,-1,92,14,1,77
1590969600000,5,0,0,5,97,14,1,82
1591056000000,0,0,0,0,97,14,1,82
1591142400000,1,0,0,1,98,14,1,83
1591228800000,0,0,0,0,98,14,1,83
1591315200000,0,0,0,0,98,14,1,83
1591401600000,0,0,0,0,98,14,1,83
1591488000000,0,0,0,0,98,14,1,83
1591574400000,5,0,16,-11,103,30,1,72
1591660800000,0,0,0,0,103,30,1,72
1591747200000,2,0,7,-5,105,37,1,67
1591833600000,0,0,0,0,105,37,1,67
1591920000000,1,0,5,-4,106,42,1,63
1592006400000,0,0,0,0,106,42,1,63
1592092800000,2,0,0,2,108,42,1,65
1592179200000,0,0,0,0,108,42,1,65
1592265600000,0,0,0,0,108,42,1,65
1592352000000,0,0,2,-2,108,44,1,63
1592438400000,0,0,0,0,108,44,1,63
1592524800000,0,0,0,0,108,44,1,63
1592611200000,0,0,0,0,108,44,1,63
1592697600000,3,0,0,3,111,44,1,66
1592784000000,0,0,1,-1,111,45,1,65
1592870400000,1,0,1,0,112,46,1,65
1592956800000,0,0,0,0,112,46,1,65
1593043200000,0,0,1,-1,112,47,1,64
1593129600000,1,0,0,1,113,47,1,65
1593216000000,0,0,0,0,113,47,1,65
1593302400000,0,0,0,0,113,47,1,65
1593388800000,0,0,0,0,113,47,1,65
1593475200000,0,0,0,0,113,47,1,65
1593561600000,0,0,0,0,113,47,1,65
1593648000000,5,0,10,-5,118,57,1,60
1593734400000,0,0,0,0,118,57,1,60
1593820800000,0,0,0,0,118,57,1,60
1593907200000,0,0,0,0,118,57,1,60
1593993600000,0,0,0,0,118,57,1,60
1594080000000,0,0,0,0,118,57,1,60
1594166400000,3,0,34,-31,121,91,1,29
1594252800000,0,0,0,0,121,91,1,29
1594339200000,0,0,0,0,121,91,1,29
1594425600000,0,0,0,0,121,91,1,29
1594512000000,0,0,0,0,121,91,1,29
1594598400000,0,0,0,0,121,91,1,29
1594684800000,0,0,0,0,121,91,1,29
1594771200000,0,0,0,0,121,91,1,29
1594857600000,0,0,1,-1,121,92,1,28
1594944000000,0,0,0,0,121,92,1,28
1595030400000,10,0,12,-2,131,104,1,26
1595116800000,0,0,0,0,131,104,1,26
1595203200000,3,0,3,0,134,107,1,26
1595289600000,3,0,4,-1,137,111,1,25
1595376000000,0,0,0,0,137,111,1,25
1595462400000,0,0,0,0,137,111,1,25
1595548800000,0,0,0,0,137,111,1,25
1595635200000,0,0,0,0,137,111,1,25
1595721600000,8,0,0,8,145,111,1,33
1595808000000,0,0,0,0,145,111,1,33
1595894400000,0,0,0,0,145,111,1,33
1595980800000,0,0,0,0,145,111,1,33
1596067200000,0,0,0,0,145,111,1,33
1596153600000,0,0,0,0,145,111,1,33
1596240000000,0,0,0,0,145,111,1,33
1596326400000,6,0,9,-3,151,120,1,30
1596412800000,0,0,0,0,151,120,1,30
1596499200000,0,0,0,0,151,120,1,30
1596585600000,1,0,9,-8,152,129,1,22
1596672000000,0,0,0,0,152,129,1,22
1596758400000,0,0,1,-1,152,130,1,21
1596844800000,0,0,0,0,152,130,1,21
1596931200000,0,0,0,0,152,130,1,21
1597017600000,0,0,0,0,152,130,1,21
1597104000000,3,0,1,2,155,131,1,23
1597190400000,7,0,6,1,162,137,1,24
1597276800000,0,0,0,0,162,137,1,24
1597363200000,0,0,0,0,162,137,1,24
1597449600000,3,0,1,2,165,138,1,26
1597536000000,0,0,0,0,165,138,1,26
1597622400000,0,0,0,0,165,138,1,26
1597708800000,0,0,0,0,165,138,1,26
1597795200000,0,0,0,0,165,138,1,26
1597881600000,0,0,0,0,165,138,1,26
1597968000000,0,0,0,0,165,138,1,26
1598054400000,6,1,10,-5,171,148,2,21
1598140800000,0,0,1,-1,171,149,2,20
1598227200000,0,0,0,0,171,149,2,20
1598313600000,1,0,0,1,172,149,2,21
1598400000000,1,0,0,1,173,149,2,22
1598486400000,1,0,6,-5,174,155,2,17
1598572800000,2,0,1,1,176,156,2,18
1598659200000,0,0,0,0,176,156,2,18
1598745600000,1,0,0,1,177,156,2,19
1598832000000,0,0,0,0,177,156,2,19
1598918400000,2,0,0,2,179,156,2,21
1599004800000,12,0,3,9,191,159,2,30
1599091200000,9,0,4,5,200,163,2,35
1599177600000,2,0,0,2,202,163,2,37
1599264000000,2,0,6,-4,204,169,2,33
1599350400000,2,0,1,1,206,170,2,34
1599436800000,0,1,0,-1,206,170,3,33
1599523200000,3,0,0,3,209,170,3,36
1599609600000,4,1,0,3,213,170,4,39
1599696000000,0,0,0,0,213,170,4,39
1599782400000,0,0,0,0,213,170,4,39
1599868800000,4,1,0,3,217,170,5,42
1599955200000,20,0,2,18,237,172,5,60
1600041600000,0,0,0,0,237,172,5,60
1600128000000,39,0,0,39,276,172,5,99
1600214400000,13,0,1,12,289,173,5,111
1600300800000,13,0,2,11,302,175,5,122
1600387200000,11,0,4,7,313,179,5,129
1600473600000,2,0,1,1,315,180,5,130
1600560000000,6,0,51,-45,321,231,5,85
1600646400000,0,0,0,0,321,231,5,85
1600732800000,11,0,0,11,332,231,5,96
1600819200000,17,1,9,7,349,240,6,103
1600905600000,18,0,0,18,367,240,6,121
1600992000000,21,0,0,21,388,240,6,142
1601078400000,6,0,10,-4,394,250,6,138
1601164800000,8,0,0,8,402,250,6,146
1601251200000,0,0,13,-13,402,263,6,133
1601337600000,4,0,5,-1,406,268,6,132
1601424000000,18,0,6,12,424,274,6,144
1601510400000,5,0,8,-3,429,282,6,141
1601596800000,10,0,3,7,439,285,6,148
1601683200000,9,0,0,9,448,285,6,157
1601769600000,16,0,21,-5,464,306,6,152
1601856000000,1,0,13,-12,465,319,6,140
1601942400000,2,0,14,-12,467,333,6,128
1602028800000,18,0,3,15,485,336,6,143
1602115200000,47,1,7,39,532,343,7,182
1602201600000,19,0,6,13,551,349,7,195
1602288000000,7,0,3,4,558,352,7,199
1602374400000,7,0,0,7,565,352,7,206
1602460800000,0,0,1,-1,565,353,7,205
1602547200000,7,0,9,-2,572,362,7,203
1602633600000,2,0,7,-5,574,369,7,198
1602720000000,1,0,0,1,575,369,7,199
1602806400000,7,0,31,-24,582,400,7,175
1602892800000,2,0,6,-4,584,406,7,171
1602979200000,3,0,0,3,587,406,7,174
1603065600000,1,0,0,1,588,406,7,175
1603152000000,4,0,5,-1,592,411,7,174
