tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1584835200000,2,0,0,2,2,0,0,2
1584921600000,0,0,0,0,2,0,0,2
1585008000000,0,0,0,0,2,0,0,2
1585094400000,0,0,0,0,2,0,0,2
1585180800000,4,0,0,4,6,0,0,6
1585267200000,0,0,0,0,6,0,0,6
1585353600000,0,0,0,0,6,0,0,6
1585440000000,2,0,0,2,8,0,0,8
1585526400000,0,0,0,0,8,0,0,8
1585612800000,1,0,1,0,9,1,0,8
1585699200000,0,0,1,-1,9,2,0,7
1585785600000,0,0,1,-1,9,3,0,6
1585872000000,6,1,0,5,15,3,1,11
1585958400000,2,0,1,1,17,4,1,12
1586044800000,8,0,0,8,25,4,1,20
1586131200000,0,1,0,-1,25,4,2,19
1586217600000,0,1,0,-1,25,4,3,18
1586304000000,11,0,0,11,36,4,3,29
1586390400000,0,0,0,0,36,4,3,29
1586476800000,0,1,1,-2,36,5,4,27
1586563200000,24,0,2,22,60,7,4,49
1586649600000,1,0,2,-1,61,9,4,48
1586736000000,6,0,0,6,67,9,4,54
1586822400000,0,0,0,0,67,9,4,54
1586908800000,7,0,0,7,74,9,4,61
1586995200000,6,2,5,-1,80,14,6,60
1587081600000,9,0,0,9,89,14,6,69
1587168000000,6,0,0,6,95,14,6,75
1587254400000,12,0,0,12,107,14,6,87
1587340800000,0,0,14,-14,107,28,6,73
1587427200000,11,0,4,7,118,32,6,80
1587513600000,5,0,0,5,123,32,6,85
1587600000000,7,0,0,7,130,32,6,92
1587686400000,6,0,0,6,136,32,6,98
1587772800000,0,0,0,0,136,32,6,98
1587859200000,5,0,0,5,141,32,6,103
1587945600000,10,0,0,10,151,32,6,113
1588032000000,26,0,16,10,177,48,6,123
1588118400000,12,0,0,12,189,48,6,135
1588204800000,16,0,0,16,205,48,6,151
1588291200000,5,0,1,4,210,49,6,155
1588377600000,29,0,0,29,239,49,6,184
1588464000000,0,0,0,0,239,49,6,184
1588550400000,0,0,0,0,239,49,6,184
1588636800000,6,0,0,6,245,49,6,190
1588723200000,1,0,0,1,246,49,6,191
1588809600000,4,0,0,4,250,49,6,195
1588896000000,13,0,0,13,263,49,6,208
1588982400000,12,0,0,12,275,49,6,220
1589068800000,30,0,0,30,305,49,6,250
1589155200000,0,0,0,0,305,49,6,250
1589241600000,16,0,0,16,321,49,6,266
1589328000000,5,0,0,5,326,49,6,271
1589414400000,4,0,0,4,330,49,6,275
