tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1585267200000,2,0,0,2,2,0,0,2
1585353600000,0,0,0,0,2,0,0,2
1585440000000,0,0,0,0,2,0,0,2
1585526400000,0,0,0,0,2,0,0,2
1585612800000,0,0,0,0,2,0,0,2
1585699200000,0,0,0,0,2,0,0,2
1585785600000,0,0,0,0,2,0,0,2
1585872000000,0,0,0,0,2,0,0,2
1585958400000,0,0,0,0,2,0,0,2
1586044800000,0,0,0,0,2,0,0,2
1586131200000,0,0,0,0,2,0,0,2
1586217600000,0,0,0,0,2,0,0,2
1586304000000,0,0,0,0,2,0,0,2
1586390400000,0,0,0,0,2,0,0,2
1586476800000,0,0,0,0,2,0,0,2
1586563200000,0,0,0,0,2,0,0,2
1586649600000,0,0,0,0,2,0,0,2
1586736000000,0,0,0,0,2,0,0,2
1586822400000,0,0,0,0,2,0,0,2
1586908800000,0,0,0,0,2,0,0,2
1586995200000,3,0,0,3,5,0,0,5
1587081600000,0,0,0,0,5,0,0,5
1587168000000,0,0,0,0,5,0,0,5
1587254400000,2,0,0,2,7,0,0,7
1587340800000,0,0,0,0,7,0,0,7
1587427200000,0,0,0,0,7,0,0,7
1587513600000,1,0,0,1,8,0,0,8
1587600000000,5,0,0,5,13,0,0,13
1587686400000,2,0,0,2,15,0,0,15
1587772800000,1,0,0,1,16,0,0,16
1587859200000,0,0,0,0,16,0,0,16
1587945600000,0,0,0,0,16,0,0,16
1588032000000,21,0,0,21,37,0,0,37
1588118400000,0,0,0,0,37,0,0,37
1588204800000,0,0,0,0,37,0,0,37
1588291200000,5,0,0,5,42,0,0,42
1588377600000,1,0,0,1,43,0,0,43
1588464000000,0,0,0,0,43,0,0,43
1588550400000,0,0,0,0,43,0,0,43
1588636800000,6,0,0,6,49,0,0,49
1588723200000,4,0,0,4,53,0,0,53
1588809600000,0,0,0,0,53,0,0,53
1588896000000,0,0,0,0,53,0,0,53
1588982400000,0,0,0,0,53,0,0,53
1589068800000,17,0,2,15,70,2,0,68
1589155200000,0,0,0,0,70,2,0,68
1589241600000,0,0,0,0,70,2,0,68
1589328000000,0,0,0,0,70,2,0,68
1589414400000,18,0,0,18,88,2,0,86
1589500800000,0,0,0,0,88,2,0,86
1589587200000,14,0,3,11,102,5,0,97
1589673600000,3,0,0,3,105,5,0,100
1589760000000,0,0,0,0,105,5,0,100
1589846400000,0,0,0,0,105,5,0,100
1589932800000,1,0,1,0,106,6,0,100
1590019200000,3,0,1,2,109,7,0,102
1590105600000,10,0,4,6,119,11,0,108
1590192000000,10,1,8,1,129,19,1,109
1590278400000,1,0,0,1,130,19,1,110
1590364800000,0,0,3,-3,130,22,1,107
1590451200000,2,0,13,-11,132,35,1,96
1590537600000,0,0,1,-1,132,36,1,95
1590624000000,20,0,2,18,152,38,1,113
1590710400000,6,0,4,2,158,42,1,115
1590796800000,4,0,7,-3,162,49,1,112
1590883200000,6,0,6,0,168,55,1,112
1590969600000,0,0,0,0,168,55,1,112
1591056000000,4,0,0,4,172,55,1,116
1591142400000,0,0,0,0,172,55,1,116
1591228800000,1,0,2,-1,173,57,1,115
1591315200000,2,0,17,-15,175,74,1,100
1591401600000,3,0,0,3,178,74,1,103
1591488000000,1,0,0,1,179,74,1,104
1591574400000,0,0,0,0,179,74,1,104
1591660800000,4,0,1,3,183,75,1,107
1591747200000,8,0,9,-1,191,84,1,106
1591833600000,4,0,1,3,195,85,1,109
1591920000000,5,0,1,4,200,86,1,113
1592006400000,5,1,0,4,205,86,2,117
1592092800000,3,0,1,2,208,87,2,119
1592179200000,1,0,0,1,209,87,2,120
1592265600000,3,0,7,-4,212,94,2,116
1592352000000,2,0,2,0,214,96,2,116
1592438400000,5,0,22,-17,219,118,2,99
1592524800000,3,0,8,-5,222,126,2,94
1592611200000,0,0,2,-2,222,128,2,92
1592697600000,2,0,0,2,224,128,2,94
1592784000000,0,0,0,0,224,128,2,94
1592870400000,0,0,1,-1,224,129,2,93
1592956800000,1,0,16,-15,225,145,2,78
1593043200000,8,0,4,4,233,149,2,82
1593129600000,0,0,1,-1,233,150,2,81
1593216000000,1,0,2,-1,234,152,2,80
1593302400000,2,0,0,2,236,152,2,82
1593388800000,1,1,1,-1,237,153,3,81
1593475200000,2,0,0,2,239,153,3,83
1593561600000,3,0,12,-9,242,165,3,74
