tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1583107200000,1,0,0,1,1,0,0,1
1583193600000,0,0,0,0,1,0,0,1
1583280000000,0,0,0,0,1,0,0,1
1583366400000,0,0,0,0,1,0,0,1
1583452800000,0,0,0,0,1,0,0,1
1583539200000,0,0,0,0,1,0,0,1
1583625600000,0,0,0,0,1,0,0,1
1583712000000,0,0,0,0,1,0,0,1
1583798400000,0,0,0,0,1,0,0,1
1583884800000,0,0,0,0,1,0,0,1
1583971200000,0,0,0,0,1,0,0,1
1584057600000,0,0,0,0,1,0,0,1
1584144000000,0,0,0,0,1,0,0,1
1584230400000,0,0,0,0,1,0,0,1
1584316800000,0,0,0,0,1,0,0,1
1584403200000,0,0,0,0,1,0,0,1
1584489600000,0,0,0,0,1,0,0,1
1584576000000,0,0,0,0,1,0,0,1
1584662400000,0,0,0,0,1,0,0,1
1584748800000,0,0,0,0,1,0,0,1
1584835200000,0,0,0,0,1,0,0,1
1584921600000,0,0,0,0,1,0,0,1
1585008000000,0,0,0,0,1,0,0,1
1585094400000,0,0,0,0,1,0,0,1
1585180800000,0,0,0,0,1,0,0,1
1585267200000,0,0,0,0,1,0,0,1
1585353600000,0,0,0,0,1,0,0,1
1585440000000,1,0,0,1,2,0,0,2
1585526400000,1,0,0,1,3,0,0,3
1585612800000,0,0,0,0,3,0,0,3
1585699200000,0,1,0,-1,3,0,1,2
1585785600000,4,0,0,4,7,0,1,6
1585872000000,3,0,0,3,10,0,1,9
1585958400000,0,0,1,-1,10,1,1,8
1586044800000,1,1,0,0,11,1,2,8
1586131200000,1,0,0,1,12,1,2,9
1586217600000,0,0,0,0,12,1,2,9
1586304000000,0,0,0,0,12,1,2,9
1586390400000,1,1,0,0,13,1,3,9
1586476800000,1,0,1,0,14,2,3,9
1586563200000,3,0,1,2,17,3,3,11
1586649600000,0,0,0,0,17,3,3,11
1586736000000,3,0,0,3,20,3,3,14
1586822400000,0,0,0,0,20,3,3,14
1586908800000,0,2,4,-6,20,7,5,8
1586995200000,5,0,3,2,25,10,5,10
