tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1585353600000,1,0,0,1,1,0,0,1
1585440000000,0,0,0,0,1,0,0,1
1585526400000,0,0,0,0,1,0,0,1
1585612800000,0,0,0,0,1,0,0,1
1585699200000,0,0,0,0,1,0,0,1
1585785600000,0,0,0,0,1,0,0,1
1585872000000,1,0,0,1,2,0,0,2
1585958400000,0,0,0,0,2,0,0,2
1586044800000,0,0,0,0,2,0,0,2
1586131200000,0,0,0,0,2,0,0,2
1586217600000,0,0,0,0,2,0,0,2
1586304000000,0,0,0,0,2,0,0,2
1586390400000,0,0,0,0,2,0,0,2
1586476800000,1,0,0,1,3,0,0,3
1586563200000,2,1,1,0,5,1,1,3
1586649600000,0,0,0,0,5,1,1,3
1586736000000,0,0,0,0,5,1,1,3
1586822400000,0,0,0,0,5,1,1,3
1586908800000,2,0,0,2,7,1,1,5
1586995200000,0,0,0,0,7,1,1,5
1587081600000,0,0,0,0,7,1,1,5
1587168000000,0,0,0,0,7,1,1,5
1587254400000,0,0,0,0,7,1,1,5
1587340800000,0,0,0,0,7,1,1,5
1587427200000,0,0,0,0,7,1,1,5
1587513600000,1,0,0,1,8,1,1,6
1587600000000,0,0,0,0,8,1,1,6
1587686400000,25,0,0,25,33,1,1,31
1587772800000,2,0,0,2,35,1,1,33
1587859200000,0,0,0,0,35,1,1,33
1587945600000,0,0,0,0,35,1,1,33
1588032000000,2,0,2,0,37,3,1,33
1588118400000,1,0,1,0,38,4,1,33
1588204800000,4,0,0,4,42,4,1,37
1588291200000,1,0,1,0,43,5,1,37
1588377600000,1,0,0,1,44,5,1,38
1588464000000,0,0,0,0,44,5,1,38
1588550400000,0,0,0,0,44,5,1,38
1588636800000,14,1,0,13,58,5,2,51
1588723200000,0,0,0,0,58,5,2,51
1588809600000,0,0,0,0,58,5,2,51
1588896000000,2,0,0,2,60,5,2,53
1588982400000,2,0,0,2,62,5,2,55
1589068800000,0,0,0,0,62,5,2,55
1589155200000,0,0,0,0,62,5,2,55
1589241600000,5,0,2,3,67,7,2,58
1589328000000,6,0,0,6,73,7,2,64
1589414400000,1,0,13,-12,74,20,2,52
1589500800000,0,0,2,-2,74,22,2,50
1589587200000,1,0,1,0,75,23,2,50
1589673600000,0,0,0,0,75,23,2,50
1589760000000,0,0,0,0,75,23,2,50
1589846400000,2,0,2,0,77,25,2,50
1589932800000,1,0,0,1,78,25,2,51
1590019200000,8,0,0,8,86,25,2,59
1590105600000,0,0,1,-1,86,26,2,58
1590192000000,0,0,1,-1,86,27,2,57
1590278400000,0,0,0,0,86,27,2,57
1590364800000,0,0,0,0,86,27,2,57
1590451200000,1,0,2,-1,87,29,2,56
1590537600000,1,0,3,-2,88,32,2,54
1590624000000,0,0,2,-2,88,34,2,52
1590710400000,0,0,0,0,88,34,2,52
1590796800000,0,0,0,0,88,34,2,52
1590883200000,4,0,7,-3,92,41,2,49
1590969600000,0,0,0,0,92,41,2,49
1591056000000,0,0,8,-8,92,49,2,41
1591142400000,0,0,0,0,92,49,2,41
1591228800000,0,0,0,0,92,49,2,41
1591315200000,0,0,1,-1,92,50,2,40
1591401600000,0,0,8,-8,92,58,2,32
1591488000000,2,0,3,-1,94,61,2,31
1591574400000,0,0,1,-1,94,62,2,30
1591660800000,0,0,1,-1,94,63,2,29
1591747200000,1,0,0,1,95,63,2,30
1591833600000,1,0,3,-2,96,66,2,28
1591920000000,1,0,0,1,97,66,2,29
1592006400000,0,0,4,-4,97,70,2,25
1592092800000,1,0,1,0,98,71,2,25
1592179200000,0,0,0,0,98,71,2,25
1592265600000,0,0,0,0,98,71,2,25
1592352000000,1,0,5,-4,99,76,2,21
1592438400000,5,0,0,5,104,76,2,26
1592524800000,0,0,1,-1,104,77,2,25
1592611200000,0,0,0,0,104,77,2,25
1592697600000,0,0,0,0,104,77,2,25
1592784000000,0,0,0,0,104,77,2,25
1592870400000,0,0,1,-1,104,78,2,24
1592956800000,1,0,0,1,105,78,2,25
1593043200000,1,0,1,0,106,79,2,25
1593129600000,3,0,0,3,109,79,2,28
1593216000000,4,0,4,0,113,83,2,28
1593302400000,1,0,0,1,114,83,2,29
1593388800000,0,0,0,0,114,83,2,29
1593475200000,1,0,1,0,115,84,2,29
1593561600000,2,0,0,2,117,84,2,31
1593648000000,2,0,1,1,119,85,2,32
1593734400000,1,0,0,1,120,85,2,33
1593820800000,4,0,0,4,124,85,2,37
1593907200000,0,0,0,0,124,85,2,37
1593993600000,0,0,4,-4,124,89,2,33
1594080000000,3,0,0,3,127,89,2,36
1594166400000,2,0,1,1,129,90,2,37
1594252800000,1,0,0,1,130,90,2,38
1594339200000,5,1,1,3,135,91,3,41
1594425600000,3,0,1,2,138,92,3,43
1594512000000,4,0,3,1,142,95,3,44
1594598400000,1,0,0,1,143,95,3,45
1594684800000,3,0,3,0,146,98,3,45
1594771200000,6,0,0,6,152,98,3,51
1594857600000,2,0,4,-2,154,102,3,49
1594944000000,0,0,1,-1,154,103,3,48
1595030400000,4,0,1,3,158,104,3,51
1595116800000,1,0,1,0,159,105,3,51
1595203200000,7,0,9,-2,166,114,3,49
1595289600000,1,0,0,1,167,114,3,50
1595376000000,2,0,0,2,169,114,3,52
1595462400000,2,0,3,-1,171,117,3,51
1595548800000,4,0,0,4,175,117,3,55
1595635200000,12,0,2,10,187,119,3,65
1595721600000,5,0,0,5,192,119,3,70
1595808000000,1,0,0,1,193,119,3,71
1595894400000,2,0,0,2,195,119,3,73
1595980800000,6,0,6,0,201,125,3,73
1596067200000,22,1,7,14,223,132,4,87
1596153600000,7,0,8,-1,230,140,4,86
1596240000000,2,0,0,2,232,140,4,88
1596326400000,6,0,4,2,238,144,4,90
1596412800000,1,1,3,-3,239,147,5,87
1596499200000,3,0,3,0,242,150,5,87
1596585600000,3,0,1,2,245,151,5,89
1596672000000,20,0,0,20,265,151,5,109
1596758400000,2,0,7,-5,267,158,5,104
1596844800000,8,0,7,1,275,165,5,105
1596931200000,0,0,7,-7,275,172,5,98
1597017600000,0,0,0,0,275,172,5,98
1597104000000,7,0,6,1,282,178,5,99
1597190400000,0,1,0,-1,282,178,6,98
1597276800000,5,1,9,-5,287,187,7,93
1597363200000,12,0,4,8,299,191,7,101
1597449600000,7,0,12,-5,306,203,7,96
1597536000000,1,0,8,-7,307,211,7,89
1597622400000,12,0,0,12,319,211,7,101
1597708800000,1,0,6,-5,320,217,7,96
1597795200000,2,0,1,1,322,218,7,97
1597881600000,1,0,9,-8,323,227,7,89
1597968000000,8,0,0,8,331,227,7,97
1598054400000,16,0,3,13,347,230,7,110
1598140800000,5,0,7,-2,352,237,7,108
1598227200000,1,0,0,1,353,237,7,109
1598313600000,7,0,3,4,360,240,7,113
1598400000000,2,0,4,-2,362,244,7,111
1598486400000,6,0,4,2,368,248,7,113
1598572800000,16,0,13,3,384,261,7,116
1598659200000,4,0,2,2,388,263,7,118
1598745600000,5,0,7,-2,393,270,7,116
1598832000000,2,0,0,2,395,270,7,118
1598918400000,1,0,7,-6,396,277,7,112
1599004800000,0,0,1,-1,396,278,7,111
1599091200000,6,0,2,4,402,280,7,115
1599177600000,0,0,3,-3,402,283,7,112
1599264000000,17,0,10,7,419,293,7,119
1599350400000,0,0,6,-6,419,299,7,113
1599436800000,0,0,3,-3,419,302,7,110
1599523200000,16,0,4,12,435,306,7,122
1599609600000,15,0,12,3,450,318,7,125
1599696000000,6,0,8,-2,456,326,7,123
1599782400000,3,0,5,-2,459,331,7,121
1599868800000,3,0,7,-4,462,338,7,117
1599955200000,8,0,3,5,470,341,7,122
1600041600000,1,0,1,0,471,342,7,122
1600128000000,4,0,5,-1,475,347,7,121
1600214400000,2,0,2,0,477,349,7,121
1600300800000,5,0,11,-6,482,360,7,115
1600387200000,2,0,4,-2,484,364,7,113
1600473600000,1,0,5,-4,485,369,7,109
1600560000000,19,0,9,10,504,378,7,119
1600646400000,1,0,0,1,505,378,7,120
1600732800000,25,0,2,23,530,380,7,143
1600819200000,10,0,5,5,540,385,7,148
1600905600000,6,2,10,-6,546,395,9,142
1600992000000,21,2,12,7,567,407,11,149
1601078400000,4,0,1,3,571,408,11,152
1601164800000,46,0,8,38,617,416,11,190
1601251200000,0,0,0,0,617,416,11,190
1601337600000,156,0,1,155,773,417,11,345
1601424000000,21,0,7,14,794,424,11,359
1601510400000,10,0,0,10,804,424,11,369
1601596800000,5,0,4,1,809,428,11,370
1601683200000,11,0,22,-11,820,450,11,359
1601769600000,9,0,15,-6,829,465,11,353
1601856000000,1,0,4,-3,830,469,11,350
1601942400000,12,0,5,7,842,474,11,357
1602028800000,20,0,4,16,862,478,11,373
1602115200000,6,0,6,0,868,484,11,373
1602201600000,10,0,8,2,878,492,11,375
1602288000000,1,0,148,-147,879,640,11,228
1602374400000,15,0,13,2,894,653,11,230
1602460800000,0,0,0,0,894,653,11,230
1602547200000,23,1,7,15,917,660,12,245
1602633600000,15,0,26,-11,932,686,12,234
1602720000000,7,0,7,0,939,693,12,234
1602806400000,5,0,7,-2,944,700,12,232
1602892800000,5,0,4,1,949,704,12,233
1602979200000,3,0,13,-10,952,717,12,223
1603065600000,0,0,0,0,952,717,12,223
1603152000000,15,0,7,8,967,724,12,231
1603238400000,4,0,10,-6,971,734,12,225
1603324800000,0,0,8,-8,971,742,12,217
1603411200000,0,0,2,-2,971,744,12,215
1603497600000,7,0,19,-12,978,763,12,203
1603584000000,9,0,21,-12,987,784,12,191
1603670400000,1,0,0,1,988,784,12,192
1603756800000,9,0,32,-23,997,816,12,169
1603843200000,3,2,0,1,1000,816,14,170
1603929600000,0,0,0,0,1000,816,14,170
1604016000000,27,0,7,20,1027,823,14,190
1604102400000,2,0,3,-1,1029,826,14,189
1604188800000,7,0,14,-7,1036,840,14,182
1604275200000,0,0,1,-1,1036,841,14,181
1604361600000,5,1,0,4,1041,841,15,185
1604448000000,1,0,1,0,1042,842,15,185
1604534400000,10,0,20,-10,1052,862,15,175
1604620800000,12,0,1,11,1064,863,15,186
1604707200000,162,1,10,151,1226,873,16,337
1604793600000,9,0,2,7,1235,875,16,344
1604880000000,35,0,1,34,1270,876,16,378
1604966400000,0,0,2,-2,1270,878,16,376
1605052800000,13,0,2,11,1283,880,16,387
1605139200000,12,1,14,-3,1295,894,17,384
1605225600000,4,0,15,-11,1299,909,17,373
1605312000000,8,0,16,-8,1307,925,17,365
1605398400000,3,0,21,-18,1310,946,17,347
1605484800000,5,0,6,-1,1315,952,17,346
1605571200000,6,0,3,3,1321,955,17,349
1605657600000,2,1,1,0,1323,956,18,349
1605744000000,29,0,11,18,1352,967,18,367
1605830400000,6,1,12,-7,1358,979,19,360
1605916800000,6,1,6,-1,1364,985,20,359
1606003200000,9,0,10,-1,1373,995,20,358
1606089600000,2,0,13,-11,1375,1008,20,347
