tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1584576000000,2,0,0,2,2,0,0,2
1584662400000,0,0,0,0,2,0,0,2
1584748800000,0,0,0,0,2,0,0,2
1584835200000,0,0,0,0,2,0,0,2
1584921600000,0,1,0,-1,2,0,1,1
1585008000000,2,0,0,2,4,0,1,3
1585094400000,9,0,0,9,13,0,1,12
1585180800000,14,0,0,14,27,0,1,26
1585267200000,2,0,0,2,29,0,1,28
1585353600000,3,0,0,3,32,0,1,31
1585440000000,15,0,0,15,47,0,1,46
1585526400000,4,2,0,2,51,0,3,48
1585612800000,0,1,0,-1,51,0,4,47
1585699200000,14,0,0,14,65,0,4,61
1585785600000,0,2,4,-6,65,4,6,55
1585872000000,15,0,0,15,80,4,6,70
1585958400000,0,2,5,-7,80,9,8,63
1586044800000,2,2,11,-11,82,20,10,52
1586131200000,29,0,0,29,111,20,10,81
1586217600000,10,0,2,8,121,22,10,89
1586304000000,5,1,2,2,126,24,11,91
1586390400000,6,0,0,6,132,24,11,97
1586476800000,33,1,0,32,165,24,12,129
1586563200000,11,6,0,5,176,24,18,134
1586649600000,45,0,0,45,221,24,18,179
1586736000000,0,1,6,-7,221,30,19,172
1586822400000,8,3,4,1,229,34,22,173
1586908800000,10,1,9,0,239,43,23,173
1586995200000,27,2,0,25,266,43,25,198
1587081600000,65,2,2,61,331,45,27,259
1587168000000,10,2,5,3,341,50,29,262
1587254400000,27,1,10,16,368,60,30,278
1587340800000,0,1,9,-10,368,69,31,268
1587427200000,6,2,0,4,374,69,33,272
1587513600000,13,0,5,8,387,74,33,280
1587600000000,10,0,5,5,397,79,33,285
1587686400000,22,0,1,21,419,80,33,306
1587772800000,13,1,1,11,432,81,34,317
1587859200000,8,1,18,-11,440,99,35,306
1587945600000,0,0,7,-7,440,106,35,299
1588032000000,13,0,2,11,453,108,35,310
1588118400000,12,0,10,2,465,118,35,312
1588204800000,26,0,4,22,491,122,35,334
1588291200000,56,0,13,43,547,135,35,377
1588377600000,30,3,10,17,577,145,38,394
1588464000000,24,0,6,18,601,151,38,412
1588550400000,6,0,48,-42,607,199,38,370
1588636800000,33,2,27,4,640,226,40,374
1588723200000,25,3,7,15,665,233,43,389
1588809600000,19,1,3,15,684,236,44,404
1588896000000,24,2,13,9,708,249,46,413
1588982400000,2,0,9,-7,710,258,46,406
1589068800000,12,2,6,4,722,264,48,410
1589155200000,0,1,11,-12,722,275,49,398
1589241600000,26,0,7,19,748,282,49,417
1589328000000,54,0,5,49,802,287,49,466
1589414400000,36,0,5,31,838,292,49,497
1589500800000,33,0,0,33,871,292,49,530
1589587200000,46,1,19,26,917,311,50,556
1589673600000,34,0,7,27,951,318,50,583
1589760000000,66,2,18,46,1017,336,52,629
1589846400000,47,0,22,25,1064,358,52,654
1589932800000,36,1,9,26,1100,367,53,680
1590019200000,33,3,31,-1,1133,398,56,679
1590105600000,71,2,19,50,1204,417,58,729
1590192000000,57,0,6,51,1261,423,58,780
1590278400000,32,2,33,-3,1293,456,60,777
1590364800000,22,3,6,13,1315,462,63,790
1590451200000,34,2,37,-5,1349,499,65,785
1590537600000,28,0,19,9,1377,518,65,794
1590624000000,45,0,2,43,1422,520,65,837
1590710400000,41,3,12,26,1463,532,68,863
1590796800000,40,1,31,8,1503,563,69,871
1590883200000,32,2,32,-2,1535,595,71,869
1590969600000,45,1,30,14,1580,625,72,883
1591056000000,42,0,0,42,1622,625,72,925
1591142400000,37,0,11,26,1659,636,72,951
1591228800000,54,4,3,47,1713,639,76,998
1591315200000,53,14,34,5,1766,673,90,1003
1591401600000,65,0,0,65,1831,673,90,1068
1591488000000,64,0,0,64,1895,673,90,1132
1591574400000,109,0,0,109,2004,673,90,1241
1591660800000,175,3,30,142,2179,703,93,1383
1591747200000,182,1,53,128,2361,756,94,1511
1591833600000,130,0,0,130,2491,756,94,1641
1591920000000,61,12,73,-24,2552,829,106,1617
1592006400000,126,0,36,90,2678,865,106,1707
1592092800000,137,3,36,98,2815,901,109,1805
1592179200000,103,8,142,-47,2918,1043,117,1758
1592265600000,167,0,43,124,3085,1086,117,1882
1592352000000,89,0,16,73,3174,1102,117,1955
1592438400000,165,0,23,142,3339,1125,117,2097
1592524800000,207,0,44,163,3546,1169,117,2260
1592611200000,111,15,75,21,3657,1244,132,2281
1592697600000,110,0,38,72,3767,1282,132,2353
1592784000000,111,7,37,67,3878,1319,139,2420
1592870400000,132,1,42,89,4010,1361,140,2509
1592956800000,136,6,40,90,4146,1401,146,2599
1593043200000,119,1,55,63,4265,1456,147,2662
1593129600000,166,2,154,10,4431,1610,149,2672
1593216000000,147,3,40,104,4578,1650,152,2776
1593302400000,193,3,62,128,4771,1712,155,2904
1593388800000,194,1,50,143,4965,1762,156,3047
1593475200000,89,4,69,16,5054,1831,160,3063
1593561600000,129,0,52,77,5183,1883,160,3140
1593648000000,165,0,50,115,5348,1933,160,3255
1593734400000,177,6,40,131,5525,1973,166,3386
1593820800000,190,0,39,151,5715,2012,166,3537
1593907200000,135,23,93,19,5850,2105,189,3556
1593993600000,85,1,82,2,5935,2187,190,3558
1594080000000,213,2,45,166,6148,2232,192,3724
1594166400000,167,3,15,149,6315,2247,195,3873
1594252800000,127,6,184,-63,6442,2431,201,3810
1594339200000,130,0,33,97,6572,2464,201,3907
1594425600000,181,7,174,0,6753,2638,208,3907
1594512000000,168,7,107,54,6921,2745,215,3961
1594598400000,125,3,254,-132,7046,2999,218,3829
1594684800000,197,13,140,44,7243,3139,231,3873
1594771200000,151,12,115,24,7394,3254,243,3897
1594857600000,179,15,212,-48,7573,3466,258,3849
1594944000000,99,3,115,-19,7672,3581,261,3830
1595030400000,167,2,78,87,7839,3659,263,3917
1595116800000,156,8,517,-369,7995,4176,271,3548
1595203200000,126,3,277,-154,8121,4453,274,3394
1595289600000,93,4,206,-117,8214,4659,278,3277
1595376000000,150,3,356,-209,8364,5015,281,3068
1595462400000,119,0,254,-135,8483,5269,281,2933
1595548800000,83,3,560,-480,8566,5829,284,2453
1595635200000,136,3,239,-106,8702,6068,287,2347
1595721600000,137,9,0,128,8839,6068,296,2475
1595808000000,114,4,8,102,8953,6076,300,2577
1595894400000,130,4,255,-129,9083,6331,304,2448
1595980800000,126,3,24,99,9209,6355,307,2547
1596067200000,92,3,103,-14,9301,6458,310,2533
1596153600000,76,0,5,71,9377,6463,310,2604
1596240000000,128,8,156,-36,9505,6619,318,2568
1596326400000,95,0,0,95,9600,6619,318,2663
1596412800000,97,0,1,96,9697,6620,318,2759
1596499200000,115,7,139,-31,9812,6759,325,2728
1596585600000,127,1,155,-29,9939,6914,326,2699
1596672000000,179,1,75,103,10118,6989,327,2802
1596758400000,88,4,74,10,10206,7063,331,2812
1596844800000,104,0,69,35,10310,7132,331,2847
1596931200000,90,0,58,32,10400,7190,331,2879
1597017600000,60,0,54,6,10460,7244,331,2885
1597104000000,54,2,118,-66,10514,7362,333,2819
1597190400000,90,1,62,27,10604,7424,334,2846
1597276800000,71,1,59,11,10675,7483,335,2857
1597363200000,35,4,120,-89,10710,7603,339,2768
1597449600000,78,0,61,17,10788,7664,339,2785
1597536000000,101,0,62,39,10889,7726,339,2824
1597622400000,85,3,86,-4,10974,7812,342,2820
1597708800000,25,0,222,-197,10999,8034,342,2623
1597795200000,25,1,68,-44,11024,8102,343,2579
1597881600000,74,2,80,-8,11098,8182,345,2571
1597968000000,112,2,89,21,11210,8271,347,2592
1598054400000,49,1,68,-20,11259,8339,348,2572
1598140800000,30,1,91,-62,11289,8430,349,2510
1598227200000,48,1,92,-45,11337,8522,350,2465
1598313600000,60,0,136,-76,11397,8658,350,2389
1598400000000,62,0,108,-46,11459,8766,350,2343
1598486400000,34,5,91,-62,11493,8857,355,2281
1598572800000,89,2,106,-19,11582,8963,357,2262
1598659200000,99,2,78,19,11681,9041,359,2281
1598745600000,60,0,80,-20,11741,9121,359,2261
1598832000000,105,0,74,31,11846,9195,359,2292
1598918400000,79,0,74,5,11925,9269,359,2297
1599004800000,130,4,91,35,12055,9360,363,2332
1599091200000,57,3,88,-34,12112,9448,366,2298
1599177600000,85,1,63,21,12197,9511,367,2319
1599264000000,151,2,62,87,12348,9573,369,2406
1599350400000,211,1,49,161,12559,9622,370,2567
1599436800000,11,1,82,-72,12570,9704,371,2495
1599523200000,50,1,104,-55,12620,9808,372,2440
1599609600000,146,1,40,105,12766,9848,373,2545
1599696000000,133,0,1,132,12899,9849,373,2677
1599782400000,162,1,139,22,13061,9988,374,2699
1599868800000,52,1,76,-25,13113,10064,375,2674
1599955200000,80,4,46,30,13193,10110,379,2704
1600041600000,180,3,63,114,13373,10173,382,2818
1600128000000,105,0,0,105,13478,10173,382,2923
1600214400000,148,3,130,15,13626,10303,385,2938
1600300800000,120,0,13,107,13746,10316,385,3045
1600387200000,176,1,72,103,13922,10388,386,3148
1600473600000,177,2,55,120,14099,10443,388,3268
1600560000000,172,8,77,87,14271,10520,396,3355
1600646400000,44,3,96,-55,14315,10616,399,3300
1600732800000,129,1,89,39,14444,10705,400,3339
1600819200000,123,1,78,44,14567,10783,401,3383
1600905600000,162,3,72,87,14729,10855,404,3470
1600992000000,170,1,84,85,14899,10939,405,3555
1601078400000,162,4,149,9,15061,11088,409,3564
1601164800000,154,3,221,-70,15215,11309,412,3494
1601251200000,78,0,170,-92,15293,11479,412,3402
1601337600000,142,3,454,-315,15435,11933,415,3087
1601424000000,75,4,374,-303,15510,12307,419,2784
1601510400000,110,0,233,-123,15620,12540,419,2661
1601596800000,67,0,196,-129,15687,12736,419,2532
1601683200000,57,4,120,-67,15744,12856,423,2465
1601769600000,72,3,118,-49,15816,12974,426,2416
1601856000000,15,0,152,-137,15831,13126,426,2279
1601942400000,58,0,197,-139,15889,13323,426,2140
1602028800000,130,0,83,47,16019,13406,426,2187
1602115200000,199,2,122,75,16218,13528,428,2262
1602201600000,107,2,124,-19,16325,13652,430,2243
1602288000000,147,2,107,38,16472,13759,432,2281
1602374400000,136,1,89,46,16608,13848,433,2327
1602460800000,89,2,157,-70,16697,14005,435,2257
1602547200000,136,4,222,-90,16833,14227,439,2167
1602633600000,136,2,86,48,16969,14313,441,2215
1602720000000,114,0,118,-4,17083,14431,441,2211
1602806400000,119,0,166,-47,17202,14597,441,2164
1602892800000,64,2,182,-120,17266,14779,443,2044
1602979200000,136,1,117,18,17402,14896,444,2062
1603065600000,42,0,88,-46,17444,14984,444,2016
1603152000000,88,0,99,-11,17532,15083,444,2005
1603238400000,114,0,187,-73,17646,15270,444,1932
1603324800000,73,0,101,-28,17719,15371,444,1904
1603411200000,60,2,87,-29,17779,15458,446,1875
1603497600000,73,0,57,16,17852,15515,446,1891
1603584000000,46,4,96,-54,17898,15611,450,1837
1603670400000,14,0,80,-66,17912,15691,450,1771
1603756800000,188,0,365,-177,18100,16056,450,1594
1603843200000,115,2,108,5,18215,16164,452,1599
1603929600000,33,10,74,-51,18248,16238,462,1548
1604016000000,43,1,99,-57,18291,16337,463,1491
1604102400000,9,3,62,-56,18300,16399,466,1435
1604188800000,29,0,101,-72,18329,16500,466,1363
1604275200000,2,1,57,-56,18331,16557,467,1307
1604361600000,26,0,42,-16,18357,16599,467,1291
1604448000000,75,2,69,4,18432,16668,469,1295
1604534400000,75,0,45,30,18507,16713,469,1325
1604620800000,28,0,33,-5,18535,16746,469,1320
1604707200000,138,0,48,90,18673,16794,469,1410
1604793600000,77,0,42,35,18750,16836,469,1445
1604880000000,58,1,15,42,18808,16851,470,1487
1604966400000,48,1,83,-36,18856,16934,471,1451
1605052800000,168,0,86,82,19024,17020,471,1533
