tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1585180800000,1,0,0,1,1,0,0,1
1585267200000,0,0,0,0,1,0,0,1
1585353600000,1,0,0,1,2,0,0,2
1585440000000,0,0,0,0,2,0,0,2
1585526400000,0,0,0,0,2,0,0,2
1585612800000,0,0,0,0,2,0,0,2
1585699200000,0,0,0,0,2,0,0,2
1585785600000,0,1,0,-1,2,0,1,1
1585872000000,2,1,0,1,4,0,2,2
1585958400000,0,0,0,0,4,0,2,2
1586044800000,1,0,0,1,5,0,2,3
1586131200000,0,0,0,0,5,0,2,3
1586217600000,0,0,2,-2,5,2,2,1
1586304000000,0,0,0,0,5,2,2,1
1586390400000,0,0,0,0,5,2,2,1
1586476800000,9,0,0,9,14,2,2,10
1586563200000,5,0,0,5,19,2,2,15
1586649600000,0,0,0,0,19,2,2,15
1586736000000,0,1,0,-1,19,2,3,14
1586822400000,0,0,0,0,19,2,3,14
1586908800000,3,0,0,3,22,2,3,17
1586995200000,0,0,0,0,22,2,3,17
1587081600000,2,0,0,2,24,2,3,19
1587168000000,0,0,0,0,24,2,3,19
1587254400000,3,0,0,3,27,2,3,22
1587340800000,0,0,0,0,27,2,3,22
1587427200000,0,0,1,-1,27,3,3,21
1587513600000,2,0,0,2,29,3,3,23
1587600000000,0,0,0,0,29,3,3,23
1587686400000,3,0,0,3,32,3,3,26
1587772800000,4,0,0,4,36,3,3,30
1587859200000,0,0,1,-1,36,4,3,29
1587945600000,0,0,0,0,36,4,3,29
1588032000000,6,0,4,2,42,8,3,31
1588118400000,5,0,0,5,47,8,3,36
1588204800000,0,0,0,0,47,8,3,36
1588291200000,0,0,3,-3,47,11,3,33
1588377600000,12,0,0,12,59,11,3,45
1588464000000,0,0,0,0,59,11,3,45
1588550400000,0,0,0,0,59,11,3,45
1588636800000,11,0,1,10,70,12,3,55
1588723200000,0,0,0,0,70,12,3,55
1588809600000,5,0,0,5,75,12,3,60
1588896000000,0,0,0,0,75,12,3,60
