tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1583798400000,1,0,0,1,1,0,0,1
1583884800000,0,0,0,0,1,0,0,1
1583971200000,0,0,0,0,1,0,0,1
1584057600000,0,0,0,0,1,0,0,1
1584144000000,0,0,0,0,1,0,0,1
1584230400000,0,0,0,0,1,0,0,1
1584316800000,2,0,0,2,3,0,0,3
1584403200000,0,0,0,0,3,0,0,3
1584489600000,0,0,0,0,3,0,0,3
1584576000000,0,0,0,0,3,0,0,3
1584662400000,0,0,0,0,3,0,0,3
1584748800000,0,0,0,0,3,0,0,3
1584835200000,0,0,0,0,3,0,0,3
1584921600000,0,0,0,0,3,0,0,3
1585008000000,0,0,0,0,3,0,0,3
1585094400000,0,0,0,0,3,0,0,3
1585180800000,0,0,0,0,3,0,0,3
1585267200000,0,0,0,0,3,0,0,3
1585353600000,0,0,0,0,3,0,0,3
1585440000000,0,0,0,0,3,0,0,3
1585526400000,0,0,0,0,3,0,0,3
1585612800000,0,0,0,0,3,0,0,3
1585699200000,0,0,0,0,3,0,0,3
1585785600000,0,0,0,0,3,0,0,3
1585872000000,2,0,0,2,5,0,0,5
1585958400000,0,0,1,-1,5,1,0,4
1586044800000,0,0,0,0,5,1,0,4
1586131200000,1,0,0,1,6,1,0,5
1586217600000,0,0,0,0,6,1,0,5
1586304000000,4,0,0,4,10,1,0,9
1586390400000,5,0,0,5,15,1,0,14
1586476800000,0,0,0,0,15,1,0,14
1586563200000,1,1,0,0,16,1,1,14
1586649600000,0,0,0,0,16,1,1,14
1586736000000,0,0,0,0,16,1,1,14
1586822400000,0,0,0,0,16,1,1,14
1586908800000,8,0,3,5,24,4,1,19
1586995200000,3,0,0,3,27,4,1,22
1587081600000,0,0,0,0,27,4,1,22
1587168000000,0,1,0,-1,27,4,2,21
1587254400000,9,0,0,9,36,4,2,30
1587340800000,0,0,0,0,36,4,2,30
1587427200000,0,0,0,0,36,4,2,30
1587513600000,0,0,0,0,36,4,2,30
1587600000000,0,0,0,0,36,4,2,30
1587686400000,5,0,1,4,41,5,2,34
1587772800000,0,0,0,0,41,5,2,34
1587859200000,4,0,1,3,45,6,2,37
1587945600000,0,0,0,0,45,6,2,37
1588032000000,0,0,0,0,45,6,2,37
1588118400000,8,0,0,8,53,6,2,45
1588204800000,9,0,4,5,62,10,2,50
1588291200000,0,0,1,-1,62,11,2,49
1588377600000,2,0,0,2,64,11,2,51
1588464000000,0,1,0,-1,64,11,3,50
1588550400000,0,0,0,0,64,11,3,50
1588636800000,5,0,4,1,69,15,3,51
1588723200000,0,0,0,0,69,15,3,51
1588809600000,0,0,0,0,69,15,3,51
1588896000000,1,0,0,1,70,15,3,52
1588982400000,2,0,0,2,72,15,3,54
1589068800000,5,0,1,4,77,16,3,58
1589155200000,0,0,0,0,77,16,3,58
1589241600000,0,0,0,0,77,16,3,58
1589328000000,89,1,1,87,166,17,4,145
1589414400000,0,0,0,0,166,17,4,145
1589500800000,17,0,2,15,183,19,4,160
1589587200000,6,0,0,6,189,19,4,166
1589673600000,2,0,0,2,191,19,4,168
1589760000000,0,0,1,-1,191,20,4,167
1589846400000,11,0,5,6,202,25,4,173
1589932800000,0,0,0,0,202,25,4,173
1590019200000,0,0,0,0,202,25,4,173
1590105600000,9,0,5,4,211,30,4,177
1590192000000,4,0,21,-17,215,51,4,160
1590278400000,0,0,0,0,215,51,4,160
1590364800000,0,0,0,0,215,51,4,160
1590451200000,0,0,49,-49,215,100,4,111
1590537600000,11,0,8,3,226,108,4,114
1590624000000,14,0,1,13,240,109,4,127
1590710400000,1,0,3,-2,241,112,4,125
1590796800000,0,0,0,0,241,112,4,125
1590883200000,3,0,9,-6,244,121,4,119
1590969600000,0,0,0,0,244,121,4,119
1591056000000,0,0,3,-3,244,124,4,116
1591142400000,7,0,7,0,251,131,4,116
1591228800000,1,1,0,0,252,131,5,116
1591315200000,5,0,10,-5,257,141,5,111
