tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1585180800000,1,0,1,0,1,1,0,0
1585267200000,0,0,0,0,1,1,0,0
1585353600000,0,0,0,0,1,1,0,0
1585440000000,0,0,0,0,1,1,0,0
1585526400000,0,0,0,0,1,1,0,0
1585612800000,0,0,0,0,1,1,0,0
1585699200000,2,0,0,2,3,1,0,2
1585785600000,0,0,0,0,3,1,0,2
1585872000000,0,0,0,0,3,1,0,2
1585958400000,0,1,0,-1,3,1,1,1
1586044800000,0,0,0,0,3,1,1,1
1586131200000,2,0,0,2,5,1,1,3
1586217600000,3,1,0,2,8,1,2,5
1586304000000,0,0,0,0,8,1,2,5
1586390400000,0,0,0,0,8,1,2,5
1586476800000,5,1,0,4,13,1,3,9
1586563200000,0,0,1,-1,13,2,3,8
1586649600000,4,0,0,4,17,2,3,12
1586736000000,0,0,0,0,17,2,3,12
1586822400000,0,0,2,-2,17,4,3,10
1586908800000,1,0,0,1,18,4,3,11
1586995200000,0,0,1,-1,18,5,3,10
1587081600000,0,0,0,0,18,5,3,10
1587168000000,2,0,0,2,20,5,3,12
1587254400000,0,0,0,0,20,5,3,12
1587340800000,0,0,0,0,20,5,3,12
1587427200000,0,0,0,0,20,5,3,12
1587513600000,0,0,0,0,20,5,3,12
1587600000000,11,0,2,9,31,7,3,21
1587686400000,5,0,0,5,36,7,3,26
1587772800000,0,0,0,0,36,7,3,26
1587859200000,4,0,6,-2,40,13,3,24
1587945600000,0,0,0,0,40,13,3,24
1588032000000,3,0,0,3,43,13,3,27
1588118400000,1,0,1,0,44,14,3,27
1588204800000,1,1,0,0,45,14,4,27
1588291200000,0,0,0,0,45,14,4,27
1588377600000,0,0,3,-3,45,17,4,24
1588464000000,0,0,0,0,45,17,4,24
1588550400000,0,0,0,0,45,17,4,24
1588636800000,0,0,0,0,45,17,4,24
1588723200000,0,0,0,0,45,17,4,24
1588809600000,0,0,0,0,45,17,4,24
1588896000000,2,0,0,2,47,17,4,26
1588982400000,6,1,0,5,53,17,5,31
1589068800000,18,1,0,17,71,17,6,48
1589155200000,0,0,0,0,71,17,6,48
1589241600000,3,0,9,-6,74,26,6,42
1589328000000,8,1,0,7,82,26,7,49
1589414400000,1,1,4,-4,83,30,8,45
1589500800000,22,1,0,21,105,30,9,66
1589587200000,9,0,1,8,114,31,9,74
1589673600000,0,4,0,-4,114,31,13,70
1589760000000,2,1,0,1,116,31,14,71
1589846400000,10,0,0,10,126,31,14,81
1589932800000,24,1,0,23,150,31,15,104
1590019200000,30,4,0,26,180,31,19,130
1590105600000,18,4,0,14,198,31,23,144
1590192000000,3,2,1,0,201,32,25,144
1590278400000,29,1,2,26,230,34,26,170
1590364800000,9,1,0,8,239,34,27,178
1590451200000,26,5,1,20,265,35,32,198
1590537600000,16,2,1,13,281,36,34,211
1590624000000,16,0,2,14,297,38,34,225
1590710400000,9,1,1,7,306,39,35,232
1590796800000,16,0,1,15,322,40,35,247
1590883200000,17,2,11,4,339,51,37,251
1590969600000,0,1,1,-2,339,52,38,249
1591056000000,15,1,0,14,354,52,39,263
1591142400000,23,4,4,15,377,56,43,278
1591228800000,4,1,6,-3,381,62,44,275
1591315200000,10,1,0,9,391,62,45,284
1591401600000,79,1,0,78,470,62,46,362
1591488000000,25,5,2,18,495,64,51,380
1591574400000,15,3,9,3,510,73,54,383
1591660800000,17,0,0,17,527,73,54,400
1591747200000,18,0,7,11,545,80,54,411
1591833600000,34,4,18,12,579,98,58,423
1591920000000,56,0,0,56,635,98,58,479
1592006400000,16,6,1,9,651,99,64,488
1592092800000,7,0,2,5,658,101,64,493
1592179200000,17,0,7,10,675,108,64,503
1592265600000,26,6,7,13,701,115,70,516
1592352000000,35,0,7,28,736,122,70,544
1592438400000,25,3,7,15,761,129,73,559
1592524800000,23,1,8,14,784,137,74,573
1592611200000,24,3,3,18,808,140,77,591
1592697600000,45,0,3,42,853,143,77,633
1592784000000,1,2,2,-3,854,145,79,630
1592870400000,7,1,2,4,861,147,80,634
1592956800000,31,3,2,26,892,149,83,660
1593043200000,36,4,3,29,928,152,87,689
1593129600000,42,5,19,18,970,171,92,707
1593216000000,54,2,1,51,1024,172,94,758
1593302400000,32,0,0,32,1056,172,94,790
1593388800000,26,0,5,21,1082,177,94,811
1593475200000,27,0,10,17,1109,187,94,828
1593561600000,20,2,14,4,1129,201,96,832
1593648000000,30,1,18,11,1159,219,97,843
1593734400000,19,4,14,1,1178,233,101,844
1593820800000,13,2,17,-6,1191,250,103,838
1593907200000,17,1,17,-1,1208,267,104,837
1593993600000,10,2,31,-23,1218,298,106,814
1594080000000,34,1,18,15,1252,316,107,829
1594166400000,89,1,12,76,1341,328,108,905
1594252800000,87,0,27,60,1428,355,108,965
1594339200000,130,1,5,124,1558,360,109,1089
1594425600000,75,0,5,70,1633,365,109,1159
1594512000000,27,0,1,26,1660,366,109,1185
1594598400000,20,1,8,11,1680,374,110,1196
1594684800000,16,1,16,-1,1696,390,111,1195
1594771200000,44,0,12,32,1740,402,111,1227
1594857600000,29,1,15,13,1769,417,112,1240
1594944000000,28,1,107,-80,1797,524,113,1160
1595030400000,54,1,76,-23,1851,600,114,1137
1595116800000,47,2,21,24,1898,621,116,1161
1595203200000,64,2,39,23,1962,660,118,1184
1595289600000,38,3,51,-16,2000,711,121,1168
1595376000000,74,1,125,-52,2074,836,122,1116
1595462400000,43,0,111,-68,2117,947,122,1048
1595548800000,44,0,54,-10,2161,1001,122,1038
1595635200000,54,1,23,30,2215,1024,123,1068
1595721600000,47,0,38,9,2262,1062,123,1077
1595808000000,50,0,23,27,2312,1085,123,1104
1595894400000,44,3,64,-23,2356,1149,126,1081
1595980800000,57,0,39,18,2413,1188,126,1099
1596067200000,86,3,22,61,2499,1210,129,1160
1596153600000,81,3,16,62,2580,1226,132,1222
1596240000000,68,0,19,49,2648,1245,132,1271
1596326400000,20,1,60,-41,2668,1305,133,1230
1596412800000,78,1,49,28,2746,1354,134,1258
1596499200000,29,0,37,-8,2775,1391,134,1250
1596585600000,19,0,35,-16,2794,1426,134,1234
1596672000000,28,1,31,-4,2822,1457,135,1230
1596758400000,18,3,30,-15,2840,1487,138,1215
1596844800000,20,0,88,-68,2860,1575,138,1147
1596931200000,44,2,43,-1,2904,1618,140,1146
1597017600000,72,0,20,52,2976,1638,140,1198
1597104000000,36,3,51,-18,3012,1689,143,1180
1597190400000,12,0,30,-18,3024,1719,143,1162
1597276800000,126,0,20,106,3150,1739,143,1268
1597363200000,61,0,82,-21,3211,1821,143,1247
1597449600000,50,1,55,-6,3261,1876,144,1241
1597536000000,21,2,91,-72,3282,1967,146,1169
1597622400000,6,1,68,-63,3288,2035,147,1106
1597708800000,27,1,82,-56,3315,2117,148,1050
1597795200000,21,0,38,-17,3336,2155,148,1033
1597881600000,65,1,36,28,3401,2191,149,1061
1597968000000,50,0,134,-84,3451,2325,149,977
1598054400000,70,0,29,41,3521,2354,149,1018
1598140800000,30,0,67,-37,3551,2421,149,981
1598227200000,3,5,34,-36,3554,2455,154,945
1598313600000,44,0,30,14,3598,2485,154,959
1598400000000,15,1,34,-20,3613,2519,155,939
1598486400000,38,0,20,18,3651,2539,155,957
1598572800000,34,0,62,-28,3685,2601,155,929
1598659200000,66,0,49,17,3751,2650,155,946
1598745600000,82,1,52,29,3833,2702,156,975
1598832000000,15,0,36,-21,3848,2738,156,954
1598918400000,45,0,33,12,3893,2771,156,966
1599004800000,14,1,51,-38,3907,2822,157,928
1599091200000,34,1,35,-2,3941,2857,158,926
1599177600000,30,0,40,-10,3971,2897,158,916
1599264000000,18,0,43,-25,3989,2940,158,891
1599350400000,12,1,20,-9,4001,2960,159,882
1599436800000,1,1,52,-52,4002,3012,160,830
1599523200000,21,0,18,3,4023,3030,160,833
1599609600000,22,0,24,-2,4045,3054,160,831
1599696000000,18,0,36,-18,4063,3090,160,813
1599782400000,21,0,26,-5,4084,3116,160,808
1599868800000,21,0,40,-19,4105,3156,160,789
1599955200000,44,1,12,31,4149,3168,161,820
1600041600000,16,1,40,-25,4165,3208,162,795
1600128000000,6,0,26,-20,4171,3234,162,775
1600214400000,11,2,15,-6,4182,3249,164,769
1600300800000,30,1,21,8,4212,3270,165,777
1600387200000,20,0,25,-5,4232,3295,165,772
1600473600000,22,2,30,-10,4254,3325,167,762
1600560000000,40,1,26,13,4294,3351,168,775
1600646400000,23,2,20,1,4317,3371,170,776
1600732800000,12,1,28,-17,4329,3399,171,759
1600819200000,6,0,16,-10,4335,3415,171,749
1600905600000,22,1,36,-15,4357,3451,172,734
