tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1585180800000,3,0,0,3,3,0,0,3
1585267200000,2,0,0,2,5,0,0,5
1585353600000,0,0,0,0,5,0,0,5
1585440000000,0,0,0,0,5,0,0,5
1585526400000,3,0,0,3,8,0,0,8
1585612800000,0,0,0,0,8,0,0,8
1585699200000,0,0,0,0,8,0,0,8
1585785600000,0,0,0,0,8,0,0,8
1585872000000,0,0,0,0,8,0,0,8
1585958400000,0,0,0,0,8,0,0,8
1586044800000,0,0,0,0,8,0,0,8
1586131200000,10,0,0,10,18,0,0,18
1586217600000,0,0,0,0,18,0,0,18
1586304000000,0,0,0,0,18,0,0,18
1586390400000,0,0,0,0,18,0,0,18
1586476800000,13,3,5,5,31,5,3,23
1586563200000,0,0,0,0,31,5,3,23
1586649600000,13,0,1,12,44,6,3,35
1586736000000,1,0,0,1,45,6,3,36
1586822400000,3,1,0,2,48,6,4,38
1586908800000,7,0,1,6,55,7,4,44
1586995200000,0,0,0,0,55,7,4,44
1587081600000,7,2,3,2,62,10,6,46
1587168000000,9,1,2,6,71,12,7,52
1587254400000,1,0,0,1,72,12,7,53
1587340800000,2,0,1,1,74,13,7,54
1587427200000,2,1,0,1,76,13,8,55
1587513600000,5,1,0,4,81,13,9,59
1587600000000,5,0,3,2,86,16,9,61
1587686400000,10,1,1,8,96,17,10,69
1587772800000,1,1,4,-4,97,21,11,65
1587859200000,5,0,0,5,102,21,11,70
1587945600000,19,3,4,12,121,25,14,82
1588032000000,23,0,0,23,144,25,14,105
1588118400000,1,1,0,0,145,25,15,105
1588204800000,3,0,1,2,148,26,15,107
1588291200000,24,0,5,19,172,31,15,126
1588377600000,10,1,0,9,182,31,16,135
1588464000000,13,0,5,8,195,36,16,143
1588550400000,8,0,2,6,203,38,16,149
1588636800000,18,0,1,17,221,39,16,166
1588723200000,17,1,0,16,238,39,17,182
1588809600000,14,1,3,10,252,42,18,192
1588896000000,18,0,7,11,270,49,18,203
1588982400000,16,0,7,9,286,56,18,212
1589068800000,13,0,2,11,299,58,18,223
1589155200000,0,0,11,-11,299,69,18,212
1589241600000,20,1,3,16,319,72,19,228
1589328000000,20,1,13,6,339,85,20,234
1589414400000,32,2,3,27,371,88,22,261
1589500800000,22,0,3,19,393,91,22,280
1589587200000,3,1,3,-1,396,94,23,279
1589673600000,12,0,3,9,408,97,23,288
1589760000000,1,0,12,-11,409,109,23,277
1589846400000,11,0,10,1,420,119,23,278
1589932800000,8,1,28,-21,428,147,24,257
1590019200000,8,0,7,1,436,154,24,258
1590105600000,2,0,5,-3,438,159,24,255
1590192000000,5,1,20,-16,443,179,25,239
1590278400000,35,0,5,30,478,184,25,269
1590364800000,0,0,5,-5,478,189,25,264
1590451200000,32,0,22,10,510,211,25,274
1590537600000,27,1,28,-2,537,239,26,272
1590624000000,4,0,8,-4,541,247,26,268
1590710400000,0,0,6,-6,541,253,26,262
1590796800000,11,0,6,5,552,259,26,267
1590883200000,15,0,9,6,567,268,26,273
1590969600000,0,0,2,-2,567,270,26,271
1591056000000,7,0,5,2,574,275,26,273
1591142400000,9,0,5,4,583,280,26,277
1591228800000,11,0,35,-24,594,315,26,253
1591315200000,13,1,21,-9,607,336,27,244
1591401600000,11,0,3,8,618,339,27,252
1591488000000,8,0,4,4,626,343,27,256
1591574400000,0,0,11,-11,626,354,27,245
1591660800000,19,2,10,7,645,364,29,252
1591747200000,14,0,28,-14,659,392,29,238
1591833600000,2,0,3,-1,661,395,29,237
1591920000000,10,0,15,-5,671,410,29,232
1592006400000,3,0,4,-1,674,414,29,231
1592092800000,7,1,12,-6,681,426,30,225
1592179200000,0,0,0,0,681,426,30,225
1592265600000,6,0,36,-30,687,462,30,195
1592352000000,4,0,6,-2,691,468,30,193
