tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1584921600000,1,2,0,-1,1,0,2,-1
1585008000000,0,0,0,0,1,0,2,-1
1585094400000,0,0,0,0,1,0,2,-1
1585180800000,0,0,0,0,1,0,2,-1
1585267200000,0,0,0,0,1,0,2,-1
1585353600000,1,0,0,1,2,0,2,0
1585440000000,0,0,0,0,2,0,2,0
1585526400000,0,0,0,0,2,0,2,0
1585612800000,3,0,0,3,5,0,2,3
1585699200000,0,0,0,0,5,0,2,3
1585785600000,6,0,0,6,11,0,2,9
1585872000000,1,0,0,1,12,0,2,10
1585958400000,0,0,1,-1,12,1,2,9
1586044800000,4,0,0,4,16,1,2,13
1586131200000,0,0,0,0,16,1,2,13
1586217600000,0,0,0,0,16,1,2,13
1586304000000,0,0,0,0,16,1,2,13
1586390400000,1,0,0,1,17,1,2,14
1586476800000,1,0,0,1,18,1,2,15
1586563200000,0,0,0,0,18,1,2,15
1586649600000,0,0,2,-2,18,3,2,13
1586736000000,0,0,0,0,18,3,2,13
1586822400000,1,0,0,1,19,3,2,14
1586908800000,3,0,0,3,22,3,2,17
1586995200000,18,0,0,18,40,3,2,35
1587081600000,14,0,0,14,54,3,2,49
1587168000000,30,1,0,29,84,3,3,78
1587254400000,5,0,0,5,89,3,3,83
1587340800000,0,0,0,0,89,3,3,83
1587427200000,0,0,0,0,89,3,3,83
1587513600000,0,0,0,0,89,3,3,83
1587600000000,4,0,1,3,93,4,3,86
1587686400000,13,0,2,11,106,6,3,97
1587772800000,13,0,10,3,119,16,3,100
1587859200000,10,0,0,10,129,16,3,110
1587945600000,0,0,4,-4,129,20,3,106
1588032000000,14,0,3,11,143,23,3,117
1588118400000,1,0,0,1,144,23,3,118
1588204800000,6,0,0,6,150,23,3,124
1588291200000,6,0,5,1,156,28,3,125
1588377600000,0,2,0,-2,156,28,5,123
1588464000000,28,0,7,21,184,35,5,144
1588550400000,0,1,7,-8,184,42,6,136
1588636800000,15,0,4,11,199,46,6,147
1588723200000,11,1,0,10,210,46,7,157
1588809600000,17,2,2,13,227,48,9,170
1588896000000,0,1,0,-1,227,48,10,169
1588982400000,51,0,6,45,278,54,10,214
1589068800000,0,3,9,-12,278,63,13,202
1589155200000,0,0,0,0,278,63,13,202
1589241600000,1,1,9,-9,279,72,14,193
1589328000000,43,2,0,41,322,72,16,234
1589414400000,117,1,0,116,439,72,17,350
1589500800000,16,1,0,15,455,72,18,365
1589587200000,0,0,0,0,455,72,18,365
1589673600000,66,3,0,63,521,72,21,428
1589760000000,16,2,4,10,537,76,23,438
1589846400000,57,0,0,57,594,76,23,495
1589932800000,50,2,1,47,644,77,25,542
1590019200000,28,1,17,10,672,94,26,552
1590105600000,19,1,5,13,691,99,27,565
1590192000000,32,3,2,27,723,101,30,592
1590278400000,11,0,10,1,734,111,30,593
1590364800000,72,0,2,70,806,113,30,663
1590451200000,58,0,0,58,864,113,30,721
1590537600000,48,1,8,39,912,121,31,760
1590624000000,27,0,14,13,939,135,31,773
1590710400000,12,1,0,11,951,135,32,784
1590796800000,11,4,66,-59,962,201,36,725
1590883200000,19,0,11,8,981,212,36,733
1590969600000,12,0,9,3,993,221,36,736
1591056000000,26,0,2,24,1019,223,36,760
1591142400000,10,0,22,-12,1029,245,36,748
1591228800000,27,3,17,7,1056,262,39,755
1591315200000,17,3,19,-5,1073,281,42,750
1591401600000,28,1,14,13,1101,295,43,763
1591488000000,25,0,48,-23,1126,343,43,740
1591574400000,27,0,47,-20,1153,390,43,720
1591660800000,30,1,11,18,1183,401,44,738
1591747200000,40,3,48,-11,1223,449,47,727
1591833600000,39,0,63,-24,1262,512,47,703
1591920000000,34,5,31,-2,1296,543,52,701
1592006400000,23,2,14,7,1319,557,54,708
1592092800000,69,0,61,8,1388,618,54,716
1592179200000,49,2,31,16,1437,649,56,732
1592265600000,50,4,21,25,1487,670,60,757
1592352000000,53,3,11,39,1540,681,63,796
1592438400000,56,2,26,28,1596,707,65,824
1592524800000,74,1,31,42,1670,738,66,866
1592611200000,50,3,9,38,1720,747,69,904
1592697600000,57,4,4,49,1777,751,73,953
1592784000000,59,0,17,42,1836,768,73,995
1592870400000,17,2,47,-32,1853,815,75,963
