tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
1584403200000,1,1,0,0,1,0,1,0
1584489600000,0,0,0,0,1,0,1,0
1584576000000,0,0,0,0,1,0,1,0
1584662400000,0,0,0,0,1,0,1,0
1584748800000,0,0,0,0,1,0,1,0
1584835200000,0,0,0,0,1,0,1,0
1584921600000,0,0,0,0,1,0,1,0
1585008000000,0,0,0,0,1,0,1,0
1585094400000,0,0,0,0,1,0,1,0
1585180800000,0,0,0,0,1,0,1,0
1585267200000,0,1,0,-1,1,0,2,-1
1585353600000,0,0,0,0,1,0,2,-1
1585440000000,0,0,0,0,1,0,2,-1
1585526400000,6,0,0,6,7,0,2,5
1585612800000,6,2,0,4,13,0,4,9
1585699200000,2,0,0,2,15,0,4,11
1585785600000,0,0,0,0,15,0,4,11
1585872000000,0,0,0,0,15,0,4,11
1585958400000,3,1,0,2,18,0,5,13
1586044800000,0,0,0,0,18,0,5,13
1586131200000,1,0,0,1,19,0,5,14
1586217600000,0,0,0,0,19,0,5,14
1586304000000,29,0,0,29,48,0,5,43
1586390400000,0,0,0,0,48,0,5,43
1586476800000,7,0,8,-1,55,8,5,42
1586563200000,0,3,0,-3,55,8,8,39
1586649600000,10,0,0,10,65,8,8,49
1586736000000,2,1,1,0,67,9,9,49
1586822400000,5,0,1,4,72,10,9,53
1586908800000,6,0,0,6,78,10,9,59
1586995200000,1,0,3,-2,79,13,9,57
1587081600000,0,0,0,0,79,13,9,57
1587168000000,0,0,0,0,79,13,9,57
1587254400000,2,0,0,2,81,13,9,59
1587340800000,2,1,1,0,83,14,10,59
1587427200000,1,0,0,1,84,14,10,60
1587513600000,9,0,7,2,93,21,10,62
1587600000000,2,1,0,1,95,21,11,63
1587686400000,1,0,0,1,96,21,11,64
1587772800000,9,1,0,8,105,21,12,72
1587859200000,6,0,7,-1,111,28,12,71
1587945600000,0,0,7,-7,111,35,12,64
1588032000000,0,1,0,-1,111,35,13,63
1588118400000,3,0,5,-2,114,40,13,61
1588204800000,3,1,1,1,117,41,14,62
1588291200000,0,0,0,0,117,41,14,62
1588377600000,0,0,0,0,117,41,14,62
1588464000000,6,0,0,6,123,41,14,68
1588550400000,6,0,0,6,129,41,14,74
1588636800000,1,0,2,-1,130,43,14,73
1588723200000,11,5,0,6,141,43,19,79
1588809600000,1,0,5,-4,142,48,19,75
1588896000000,15,0,0,15,157,48,19,90
1588982400000,22,5,0,17,179,48,24,107
1589068800000,0,0,0,0,179,48,24,107
1589155200000,17,3,0,14,196,48,27,121
1589241600000,2,0,5,-3,198,53,27,118
1589328000000,2,0,0,2,200,53,27,120
1589414400000,2,0,0,2,202,53,27,122
1589500800000,0,0,0,0,202,53,27,122
1589587200000,0,0,0,0,202,53,27,122
1589673600000,16,2,5,9,218,58,29,131
1589760000000,7,1,0,6,225,58,30,137
1589846400000,10,1,0,9,235,58,31,146
1589932800000,15,2,16,-3,250,74,33,143
1590019200000,23,1,0,22,273,74,34,165
1590105600000,12,1,28,-17,285,102,35,148
1590192000000,9,0,0,9,294,102,35,157
1590278400000,17,1,7,9,311,109,36,166
1590364800000,4,0,5,-1,315,114,36,165
1590451200000,0,0,0,0,315,114,36,165
1590537600000,17,1,2,14,332,116,37,179
1590624000000,30,1,2,27,362,118,38,206
1590710400000,38,0,0,38,400,118,38,244
1590796800000,6,4,5,-3,406,123,42,241
1590883200000,3,0,23,-20,409,146,42,221
1590969600000,8,0,3,5,417,149,42,226
1591056000000,1,0,2,-1,418,151,42,225
1591142400000,26,2,9,15,444,160,44,240
1591228800000,44,1,7,36,488,167,45,276
1591315200000,48,1,5,42,536,172,46,318
1591401600000,67,0,7,60,603,179,46,378
1591488000000,0,0,0,0,603,179,46,378
1591574400000,2,2,10,-10,605,189,48,368
1591660800000,12,4,0,8,617,189,52,376
1591747200000,18,1,4,13,635,193,53,389
1591833600000,45,3,12,30,680,205,56,419
1591920000000,83,1,0,82,763,205,57,501
1592006400000,98,2,0,96,861,205,59,597
1592092800000,8,0,7,1,869,212,59,598
1592179200000,63,5,4,54,932,216,64,652
1592265600000,25,2,6,17,957,222,66,669
1592352000000,13,0,5,8,970,227,66,677
1592438400000,23,0,7,16,993,234,66,693
1592524800000,31,0,16,15,1024,250,66,708
1592611200000,58,2,5,51,1082,255,68,759
1592697600000,13,2,4,7,1095,259,70,766
1592784000000,20,3,4,13,1115,263,73,779
1592870400000,116,3,3,110,1231,266,76,889
1592956800000,54,3,8,43,1285,274,79,932
1593043200000,69,3,18,48,1354,292,82,980
1593129600000,14,4,64,-54,1368,356,86,926
1593216000000,75,5,18,52,1443,374,91,978
1593302400000,22,0,10,12,1465,384,91,990
1593388800000,12,0,18,-6,1477,402,91,984
1593475200000,72,1,5,66,1549,407,92,1050
1593561600000,50,5,13,32,1599,420,97,1082
1593648000000,89,2,6,81,1688,426,99,1163
1593734400000,33,1,13,19,1721,439,100,1182
1593820800000,44,3,21,20,1765,460,103,1202
1593907200000,12,0,19,-7,1777,479,103,1195
1593993600000,19,4,7,8,1796,486,107,1203
1594080000000,24,1,9,14,1820,495,108,1217
1594166400000,155,1,10,144,1975,505,109,1361
1594252800000,109,5,12,92,2084,517,114,1453
1594339200000,108,1,12,95,2192,529,115,1548
1594425600000,88,4,16,68,2280,545,119,1616
1594512000000,39,4,22,13,2319,567,123,1629
1594598400000,46,2,13,31,2365,580,125,1660
1594684800000,130,5,20,105,2495,600,130,1765
1594771200000,96,0,8,88,2591,608,130,1853
1594857600000,98,5,29,64,2689,637,135,1917
1594944000000,83,7,21,55,2772,658,142,1972
1595030400000,149,3,39,107,2921,697,145,2079
1595116800000,14,1,25,-12,2935,722,146,2067
1595203200000,15,3,49,-37,2950,771,149,2030
1595289600000,42,4,30,8,2992,801,153,2038
1595376000000,166,7,26,133,3158,827,160,2171
1595462400000,104,8,16,80,3262,843,168,2251
1595548800000,56,3,33,20,3318,876,171,2271
1595635200000,52,3,24,25,3370,900,174,2296
1595721600000,20,4,19,-3,3390,919,178,2293
1595808000000,48,1,13,34,3438,932,179,2327
1595894400000,80,1,18,61,3518,950,180,2388
1595980800000,241,3,30,208,3759,980,183,2596
1596067200000,68,4,268,-204,3827,1248,187,2392
1596153600000,104,5,106,-7,3931,1354,192,2385
1596240000000,31,1,131,-101,3962,1485,193,2284
1596326400000,174,8,129,37,4136,1614,201,2321
1596412800000,57,2,39,16,4193,1653,203,2337
1596499200000,68,6,64,-2,4261,1717,209,2335
1596585600000,130,2,74,54,4391,1791,211,2389
1596672000000,86,1,69,16,4477,1860,212,2405
1596758400000,216,9,52,155,4693,1912,221,2560
1596844800000,101,1,124,-24,4794,2036,222,2536
1596931200000,25,2,35,-12,4819,2071,224,2524
1597017600000,129,1,27,101,4948,2098,225,2625
1597104000000,207,4,40,163,5155,2138,229,2788
1597190400000,109,2,51,56,5264,2189,231,2844
1597276800000,94,5,148,-59,5358,2337,236,2785
1597363200000,69,4,101,-36,5427,2438,240,2749
